num_node,num_find,find_size,num_class,skew,class,num_class_node,hit_count
10000,1000000,3,12,1,0,1216,6444
10000,1000000,3,12,1,1,992,9
10000,1000000,3,12,1,2,925,19
10000,1000000,3,12,1,3,887,132
10000,1000000,3,12,1,4,894,991
10000,1000000,3,12,1,5,820,1794
10000,1000000,3,12,1,6,891,8464
10000,1000000,3,12,1,7,862,46019
10000,1000000,3,12,1,8,833,136402
10000,1000000,3,12,1,9,851,534021
10000,1000000,3,12,1,10,829,2265705
10000,1000000,3,12,1,11,0,0
