strategy,num_node,num_find,find_size,num_class,skew,freq,quantile
Classified,10000,1000000,3,8,1,0,0.000008793593280257089
Classified,10000,1000000,3,8,1,0.000000098303666,0.000009129043705117033
Classified,10000,1000000,3,8,1,0.000000114687666,0.000010926099552581016
Classified,10000,1000000,3,8,1,0.000000136533,0.000011045903275745281
Classified,10000,1000000,3,8,1,0.00000014745567,0.000011549078913035197
Classified,10000,1000000,3,8,1,0.000000169301,0.000013609702951460563
Classified,10000,1000000,3,8,1,0.00000017476233,0.000014831700927736072
Classified,10000,1000000,3,8,1,0.00000019660766,0.000015622405500620224
Classified,10000,1000000,3,8,1,0.00000020753033,0.00001598181667011302
Classified,10000,1000000,3,8,1,0.00000022937566,0.000022259531763920534
Classified,10000,1000000,3,8,1,0.00000024029833,0.00002477540995037011
Classified,10000,1000000,3,8,1,0.000000251221,0.00002515878186449576
Classified,10000,1000000,3,8,1,0.00000026214366,0.000028129914198969545
Classified,10000,1000000,3,8,1,0.00000027306635,0.000029615480366206438
Classified,10000,1000000,3,8,1,0.000000283989,0.000033257513550400105
Classified,10000,1000000,3,8,1,0.00000029491164,0.00003826530917866641
Classified,10000,1000000,3,8,1,0.00000030583433,0.000048209018201300444
Classified,10000,1000000,3,8,1,0.000000316757,0.00005237818776741689
Classified,10000,1000000,3,8,1,0.00000032767966,0.00005973413636970279
Classified,10000,1000000,3,8,1,0.00000033860235,0.00012687214283095717
Classified,10000,1000000,3,8,1,0.000000349525,0.00013092150867390935
Classified,10000,1000000,3,8,1,0.00000037137033,0.00015104853416550597
Classified,10000,1000000,3,8,1,0.00000039321566,0.0001785794297486542
Classified,10000,1000000,3,8,1,0.000000415061,0.00024475900642459446
Classified,10000,1000000,3,8,1,0.00000043690633,0.00030621831640786267
Classified,10000,1000000,3,8,1,0.00000045875169,0.00039681389186468024
Classified,10000,1000000,3,8,1,0.000000480597,0.0005017140318673112
Classified,10000,1000000,3,8,1,0.00000050244233,0.0006326595012858534
Classified,10000,1000000,3,8,1,0.00000052428766,0.000843801582990555
Classified,10000,1000000,3,8,1,0.000000546133,0.0010225726986962719
Classified,10000,1000000,3,8,1,0.0000005679783,0.0013369137075346718
Classified,10000,1000000,3,8,1,0.0000005898237,0.0016813254508873023
Classified,10000,1000000,3,8,1,0.000000611669,0.002184644852645015
Classified,10000,1000000,3,8,1,0.00000063351433,0.0028237737549817385
Classified,10000,1000000,3,8,1,0.0000006553597,0.00343206517897598
Classified,10000,1000000,3,8,1,0.00000067720504,0.004463503353186408
Classified,10000,1000000,3,8,1,0.0000006990503,0.005382996928472146
Classified,10000,1000000,3,8,1,0.000000742741,0.0076179833055907845
Classified,10000,1000000,3,8,1,0.00000078643166,0.010449568263322833
Classified,10000,1000000,3,8,1,0.00000083012236,0.013790606573438604
Classified,10000,1000000,3,8,1,0.00000087381295,0.01777355323226851
Classified,10000,1000000,3,8,1,0.00000091750366,0.022473021998599255
Classified,10000,1000000,3,8,1,0.0000009611944,0.027881752766807086
Classified,10000,1000000,3,8,1,0.000001004885,0.03443252450645059
Classified,10000,1000000,3,8,1,0.0000010485757,0.041450027590797446
Classified,10000,1000000,3,8,1,0.0000010922663,0.04942406756163242
Classified,10000,1000000,3,8,1,0.000001135957,0.05815569835626896
Classified,10000,1000000,3,8,1,0.0000011796477,0.06827587826312397
Classified,10000,1000000,3,8,1,0.0000012233384,0.0799097302906702
Classified,10000,1000000,3,8,1,0.000001267029,0.09351694132468893
Classified,10000,1000000,3,8,1,0.0000013107197,0.10838199560895394
Classified,10000,1000000,3,8,1,0.0000013544103,0.12520780554801458
Classified,10000,1000000,3,8,1,0.000001398101,0.1427632201611456
Classified,10000,1000000,3,8,1,0.0000014854824,0.1794047336367882
Classified,10000,1000000,3,8,1,0.0000015728637,0.21750286870015118
Classified,10000,1000000,3,8,1,0.000001660245,0.25527777331841695
Classified,10000,1000000,3,8,1,0.0000017476264,0.295008761246275
Classified,10000,1000000,3,8,1,0.0000018350077,0.33470519778037244
Classified,10000,1000000,3,8,1,0.000001922389,0.37336053996017243
Classified,10000,1000000,3,8,1,0.0000020097705,0.4133113437592923
Classified,10000,1000000,3,8,1,0.0000020971518,0.4514530634171424
Classified,10000,1000000,3,8,1,0.000002184533,0.488990301409395
Classified,10000,1000000,3,8,1,0.0000022719144,0.5255674084034644
Classified,10000,1000000,3,8,1,0.0000023592956,0.5611749678267102
Classified,10000,1000000,3,8,1,0.000002446677,0.5945329248186112
Classified,10000,1000000,3,8,1,0.0000025340582,0.6269479785877201
Classified,10000,1000000,3,8,1,0.0000026214398,0.657041020555204
Classified,10000,1000000,3,8,1,0.000002708821,0.6862583931493356
Classified,10000,1000000,3,8,1,0.0000027962024,0.7127449596776609
Classified,10000,1000000,3,8,1,0.000002970965,0.760143505691755
Classified,10000,1000000,3,8,1,0.0000031457275,0.8006596632604871
Classified,10000,1000000,3,8,1,0.0000033204904,0.835086029855567
Classified,10000,1000000,3,8,1,0.0000034952532,0.8645030194132349
Classified,10000,1000000,3,8,1,0.0000036700155,0.88951532924579
Classified,10000,1000000,3,8,1,0.0000038447783,0.9095222395245421
Classified,10000,1000000,3,8,1,0.000004019541,0.9263680806461159
Classified,10000,1000000,3,8,1,0.0000041943035,0.9405474742619672
Classified,10000,1000000,3,8,1,0.000004369066,0.9524418275051617
Classified,10000,1000000,3,8,1,0.000004543829,0.9619438202004892
Classified,10000,1000000,3,8,1,0.0000047185918,0.9698887957880845
Classified,10000,1000000,3,8,1,0.0000048933543,0.9758902195355306
Classified,10000,1000000,3,8,1,0.000005068117,0.9807640266798099
Classified,10000,1000000,3,8,1,0.00000524288,0.9843534181080452
Classified,10000,1000000,3,8,1,0.000005417642,0.9871860812992858
Classified,10000,1000000,3,8,1,0.0000055924047,0.9892372408435811
Classified,10000,1000000,3,8,1,0.000005941931,0.9925840297324088
Classified,10000,1000000,3,8,1,0.0000062914564,0.9948077305988053
Classified,10000,1000000,3,8,1,0.000006640981,0.9963829339117137
Classified,10000,1000000,3,8,1,0.000006990507,0.9974151867512417
Classified,10000,1000000,3,8,1,0.000007340032,0.9982441087118152
Classified,10000,1000000,3,8,1,0.000007689558,0.9987467572127232
Classified,10000,1000000,3,8,1,0.000008039083,0.9991129492729471
Classified,10000,1000000,3,8,1,0.000008388608,0.9993988967993956
Classified,10000,1000000,3,8,1,0.000008738133,0.999567508559377
Classified,10000,1000000,3,8,1,0.000009087659,0.9996991968118791
Classified,10000,1000000,3,8,1,0.000009437184,0.9997986818235948
Classified,10000,1000000,3,8,1,0.00000978671,0.9998659396337792
Classified,10000,1000000,3,8,1,0.000010136234,0.9999158977863387
Classified,10000,1000000,3,8,1,0.00001048576,0.9999451298947908
Classified,10000,1000000,3,8,1,0.000010835285,0.9999653527632609
Classified,10000,1000000,3,8,1,0.00001118481,0.999976374705792
Classified,10000,1000000,3,8,1,0.000011883862,0.9999884988425762
Classified,10000,1000000,3,8,1,0.000012582913,0.9999945369502237
Classified,10000,1000000,3,8,1,0.000013281962,0.9999976997685153
Classified,10000,1000000,3,8,1,0.000013981014,0.9999985144338328
Classified,10000,1000000,3,8,1,0.000014680064,0.9999994009813842
Classified,10000,1000000,3,8,1,0.000015379115,0.999999544745852
Classified,10000,1000000,3,8,1,0.000016078166,0.9999999041570214
Classified,10000,1000000,3,8,1,0.000016777216,0.9999999281177661
Classified,10000,1000000,3,8,1,0.000018175318,0.9999999520785108
Classified,10000,1000000,3,8,1,0.000018874369,0.9999999760392554
Classified,10000,1000000,3,8,1,0.00001957342,1
