strategy,num_node,num_find,find_size,num_class,skew,freq,quantile
Vanilla,10000,1000000,3,8,1,0.000000060074335,0.0000057612181058665595
Vanilla,10000,1000000,3,8,1,0.000000062805,0.000010994324552028685
Vanilla,10000,1000000,3,8,1,0.00000006826633,0.00002806193319065837
Vanilla,10000,1000000,3,8,1,0.00000007372767,0.00005494761768470231
Vanilla,10000,1000000,3,8,1,0.000000079189,0.00007187119587068533
Vanilla,10000,1000000,3,8,1,0.00000008191967,0.0000943159414081238
Vanilla,10000,1000000,3,8,1,0.00000008465033,0.00010994324552028684
Vanilla,10000,1000000,3,8,1,0.000000087381,0.00016887570572821352
Vanilla,10000,1000000,3,8,1,0.000000092842335,0.00024163508939021994
Vanilla,10000,1000000,3,8,1,0.000000098303666,0.0003464652538415502
Vanilla,10000,1000000,3,8,1,0.000000103765004,0.000465290377275048
Vanilla,10000,1000000,3,8,1,0.000000109226335,0.000622979717847704
Vanilla,10000,1000000,3,8,1,0.000000114687666,0.0008135320066992404
Vanilla,10000,1000000,3,8,1,0.000000120149,0.0011008007445030118
Vanilla,10000,1000000,3,8,1,0.00000012561034,0.0013809399749007733
Vanilla,10000,1000000,3,8,1,0.00000013107167,0.0017297817312109933
Vanilla,10000,1000000,3,8,1,0.000000136533,0.002181341205333726
Vanilla,10000,1000000,3,8,1,0.00000014199432,0.0027308893974070728
Vanilla,10000,1000000,3,8,1,0.00000014745567,0.0034564428026146424
Vanilla,10000,1000000,3,8,1,0.000000152917,0.004449004661953686
Vanilla,10000,1000000,3,8,1,0.00000015837833,0.005751784111218203
Vanilla,10000,1000000,3,8,1,0.00000016383967,0.007055571773651246
Vanilla,10000,1000000,3,8,1,0.000000169301,0.0086565182649698
Vanilla,10000,1000000,3,8,1,0.00000017476233,0.010659549769926955
Vanilla,10000,1000000,3,8,1,0.000000185685,0.01447268398852106
Vanilla,10000,1000000,3,8,1,0.00000019660766,0.01870197019496226
Vanilla,10000,1000000,3,8,1,0.00000020753033,0.023014049906599852
Vanilla,10000,1000000,3,8,1,0.00000021845301,0.027797109198392036
Vanilla,10000,1000000,3,8,1,0.00000022937566,0.03277230511401487
Vanilla,10000,1000000,3,8,1,0.00000024029833,0.03835571762608912
Vanilla,10000,1000000,3,8,1,0.000000251221,0.04489131546061047
Vanilla,10000,1000000,3,8,1,0.00000026214366,0.05165287307025899
Vanilla,10000,1000000,3,8,1,0.00000027306635,0.05824137809105255
Vanilla,10000,1000000,3,8,1,0.000000283989,0.06513642792522908
Vanilla,10000,1000000,3,8,1,0.00000029491164,0.0723728779423291
Vanilla,10000,1000000,3,8,1,0.00000030583433,0.08060520251917903
Vanilla,10000,1000000,3,8,1,0.000000316757,0.09041715708035582
Vanilla,10000,1000000,3,8,1,0.00000032767966,0.10178144785508289
Vanilla,10000,1000000,3,8,1,0.00000033860235,0.11440473282146991
Vanilla,10000,1000000,3,8,1,0.000000349525,0.12784049357123675
Vanilla,10000,1000000,3,8,1,0.00000037137033,0.15398238080273788
Vanilla,10000,1000000,3,8,1,0.00000039321566,0.17809787959087767
Vanilla,10000,1000000,3,8,1,0.000000415061,0.20148436824294635
Vanilla,10000,1000000,3,8,1,0.00000043690633,0.22416503566182006
Vanilla,10000,1000000,3,8,1,0.00000045875169,0.24616679153706827
Vanilla,10000,1000000,3,8,1,0.000000480597,0.2674373048042294
Vanilla,10000,1000000,3,8,1,0.00000050244233,0.2887340076086967
Vanilla,10000,1000000,3,8,1,0.00000052428766,0.3096324422065206
Vanilla,10000,1000000,3,8,1,0.000000546133,0.3295556946196248
Vanilla,10000,1000000,3,8,1,0.0000005679783,0.34760631109756795
Vanilla,10000,1000000,3,8,1,0.0000005898237,0.3651489561741018
Vanilla,10000,1000000,3,8,1,0.000000611669,0.3824756515919674
Vanilla,10000,1000000,3,8,1,0.00000063351433,0.39929648805506246
