strategy,num_node,num_find,find_size,num_class,skew,class,num_class_node,class_capacity,class_hit_count
Vanilla,10000,1000000,3,8,1,0,163804,163804,49181137
Vanilla,10000,1000000,3,8,1,1,135424,325018,40557524
Vanilla,10000,1000000,3,8,1,2,124762,657266,37490232
Vanilla,10000,1000000,3,8,1,3,118135,1302985,35409148
Vanilla,10000,1000000,3,8,1,4,116188,2622068,34845516
Vanilla,10000,1000000,3,8,1,5,114382,5217365,34331528
Vanilla,10000,1000000,3,8,1,6,113412,10407362,34015789
Vanilla,10000,1000000,3,8,1,7,113893,20961989,34169126
