strategy,num_node,num_find,find_size,num_class,skew,freq,quantile
Vanilla,10000,1000000,3,8,1,0.000008,0.000001
Vanilla,10000,1000000,3,8,1,0.000009666666,0.000002
Vanilla,10000,1000000,3,8,1,0.000011666667,0.000003
Vanilla,10000,1000000,3,8,1,0.000012333333,0.000004
Vanilla,10000,1000000,3,8,1,0.000013,0.000006
Vanilla,10000,1000000,3,8,1,0.000013666667,0.000014
Vanilla,10000,1000000,3,8,1,0.000014333334,0.000024
Vanilla,10000,1000000,3,8,1,0.000015,0.000049
Vanilla,10000,1000000,3,8,1,0.000015666667,0.000082
Vanilla,10000,1000000,3,8,1,0.000016333333,0.000151
Vanilla,10000,1000000,3,8,1,0.000017,0.000229
Vanilla,10000,1000000,3,8,1,0.000017666667,0.000343
Vanilla,10000,1000000,3,8,1,0.000018333334,0.000448
Vanilla,10000,1000000,3,8,1,0.000019,0.000603
Vanilla,10000,1000000,3,8,1,0.000019666666,0.000761
Vanilla,10000,1000000,3,8,1,0.000020333333,0.000959
Vanilla,10000,1000000,3,8,1,0.000021,0.00115
Vanilla,10000,1000000,3,8,1,0.000022333334,0.001565
Vanilla,10000,1000000,3,8,1,0.000023666667,0.001976
Vanilla,10000,1000000,3,8,1,0.000025,0.002546
Vanilla,10000,1000000,3,8,1,0.000026333333,0.00323
Vanilla,10000,1000000,3,8,1,0.000027666667,0.004158
Vanilla,10000,1000000,3,8,1,0.000029,0.005297
Vanilla,10000,1000000,3,8,1,0.000030333333,0.006683
Vanilla,10000,1000000,3,8,1,0.000031666666,0.008327
Vanilla,10000,1000000,3,8,1,0.000033,0.010272
Vanilla,10000,1000000,3,8,1,0.000034333334,0.012911
Vanilla,10000,1000000,3,8,1,0.000035666668,0.016802
Vanilla,10000,1000000,3,8,1,0.000037,0.022536
Vanilla,10000,1000000,3,8,1,0.00003833333,0.030208
Vanilla,10000,1000000,3,8,1,0.000039666666,0.03945
Vanilla,10000,1000000,3,8,1,0.000041,0.049349
Vanilla,10000,1000000,3,8,1,0.000042333333,0.058867
Vanilla,10000,1000000,3,8,1,0.000045,0.074385
Vanilla,10000,1000000,3,8,1,0.00004766667,0.086055
Vanilla,10000,1000000,3,8,1,0.000050333332,0.097043
Vanilla,10000,1000000,3,8,1,0.000053,0.109354
Vanilla,10000,1000000,3,8,1,0.000055666667,0.124328
Vanilla,10000,1000000,3,8,1,0.000058333335,0.144248
Vanilla,10000,1000000,3,8,1,0.000061,0.168183
Vanilla,10000,1000000,3,8,1,0.00006366667,0.191412
Vanilla,10000,1000000,3,8,1,0.000066333334,0.209743
Vanilla,10000,1000000,3,8,1,0.000069,0.224367
Vanilla,10000,1000000,3,8,1,0.00007166667,0.240936
Vanilla,10000,1000000,3,8,1,0.00007433334,0.267441
Vanilla,10000,1000000,3,8,1,0.000077,0.310408
Vanilla,10000,1000000,3,8,1,0.000079666665,0.370819
Vanilla,10000,1000000,3,8,1,0.00008233333,0.436879
Vanilla,10000,1000000,3,8,1,0.000085,0.495713
Vanilla,10000,1000000,3,8,1,0.000090333335,0.561529
Vanilla,10000,1000000,3,8,1,0.00009566667,0.585367
Vanilla,10000,1000000,3,8,1,0.000101,0.612057
Vanilla,10000,1000000,3,8,1,0.00010633333,0.641207
Vanilla,10000,1000000,3,8,1,0.00011166667,0.663863
Vanilla,10000,1000000,3,8,1,0.000117,0.691415
Vanilla,10000,1000000,3,8,1,0.00012233334,0.731186
Vanilla,10000,1000000,3,8,1,0.00012766667,0.767066
Vanilla,10000,1000000,3,8,1,0.000133,0.787026
Vanilla,10000,1000000,3,8,1,0.00013833333,0.799503
Vanilla,10000,1000000,3,8,1,0.00014366666,0.81243
Vanilla,10000,1000000,3,8,1,0.000149,0.826304
Vanilla,10000,1000000,3,8,1,0.00015433333,0.845868
Vanilla,10000,1000000,3,8,1,0.00015966667,0.878907
Vanilla,10000,1000000,3,8,1,0.000165,0.920356
Vanilla,10000,1000000,3,8,1,0.00017033334,0.953135
Vanilla,10000,1000000,3,8,1,0.000181,0.973717
Vanilla,10000,1000000,3,8,1,0.00019166667,0.975343
Vanilla,10000,1000000,3,8,1,0.00020233334,0.978824
Vanilla,10000,1000000,3,8,1,0.000213,0.982987
Vanilla,10000,1000000,3,8,1,0.00022366666,0.984742
Vanilla,10000,1000000,3,8,1,0.00023433333,0.986582
Vanilla,10000,1000000,3,8,1,0.000245,0.990063
Vanilla,10000,1000000,3,8,1,0.00025566667,0.992977
Vanilla,10000,1000000,3,8,1,0.00026633334,0.993885
Vanilla,10000,1000000,3,8,1,0.000277,0.994401
Vanilla,10000,1000000,3,8,1,0.00028766665,0.995407
Vanilla,10000,1000000,3,8,1,0.00029833333,0.996251
Vanilla,10000,1000000,3,8,1,0.000309,0.996653
Vanilla,10000,1000000,3,8,1,0.00031966667,0.997615
Vanilla,10000,1000000,3,8,1,0.00033033334,0.998911
Vanilla,10000,1000000,3,8,1,0.000341,0.999756
Vanilla,10000,1000000,3,8,1,0.00036233335,0.999984
Vanilla,10000,1000000,3,8,1,0.000405,0.999986
Vanilla,10000,1000000,3,8,1,0.00042633334,0.999992
Vanilla,10000,1000000,3,8,1,0.00049033336,0.999997
Vanilla,10000,1000000,3,8,1,0.00051166664,1
