num_node,node_min_capacity,capacity_multiplier,capacity_skew,num_copy,strategy,supply,num_stored,num_loss
12000,1024,128,1,3,Vanilla,138022794,100000,0
12000,1024,128,1,3,Vanilla,138022794,200000,0
12000,1024,128,1,3,Vanilla,138022794,300000,0
12000,1024,128,1,3,Vanilla,138022794,400000,0
12000,1024,128,1,3,Vanilla,138022794,500000,0
12000,1024,128,1,3,Vanilla,138022794,600000,0
12000,1024,128,1,3,Vanilla,138022794,700000,0
12000,1024,128,1,3,Vanilla,138022794,800000,0
12000,1024,128,1,3,Vanilla,138022794,900000,0
12000,1024,128,1,3,Vanilla,138022794,1000000,0
12000,1024,128,1,3,Vanilla,138022794,1100000,0
12000,1024,128,1,3,Vanilla,138022794,1200000,0
12000,1024,128,1,3,Vanilla,138022794,1300000,0
12000,1024,128,1,3,Vanilla,138022794,1400000,0
12000,1024,128,1,3,Vanilla,138022794,1500000,0
12000,1024,128,1,3,Vanilla,138022794,1600000,1
12000,1024,128,1,3,Vanilla,138022794,1700000,14
12000,1024,128,1,3,Vanilla,138022794,1800000,36
12000,1024,128,1,3,Vanilla,138022794,1900000,55
12000,1024,128,1,3,Vanilla,138022794,2000000,96
12000,1024,128,1,3,Vanilla,138022794,2100000,145
12000,1024,128,1,3,Vanilla,138022794,2200000,232
12000,1024,128,1,3,Vanilla,138022794,2300000,312
12000,1024,128,1,3,Vanilla,138022794,2400000,454
12000,1024,128,1,3,Vanilla,138022794,2500000,659
12000,1024,128,1,3,Vanilla,138022794,2600000,921
12000,1024,128,1,3,Vanilla,138022794,2700000,1266
12000,1024,128,1,3,Vanilla,138022794,2800000,1763
12000,1024,128,1,3,Vanilla,138022794,2900000,2359
12000,1024,128,1,3,Vanilla,138022794,3000000,3024
12000,1024,128,1,3,Vanilla,138022794,3100000,3898
12000,1024,128,1,3,Vanilla,138022794,3200000,4844
12000,1024,128,1,3,Vanilla,138022794,3300000,6019
12000,1024,128,1,3,Vanilla,138022794,3400000,7285
12000,1024,128,1,3,Vanilla,138022794,3500000,8771
12000,1024,128,1,3,Vanilla,138022794,3600000,10416
12000,1024,128,1,3,Vanilla,138022794,3700000,12302
12000,1024,128,1,3,Vanilla,138022794,3800000,14339
12000,1024,128,1,3,Vanilla,138022794,3900000,16574
12000,1024,128,1,3,Vanilla,138022794,4000000,19028
12000,1024,128,1,3,Vanilla,138022794,4100000,21754
12000,1024,128,1,3,Vanilla,138022794,4200000,24710
12000,1024,128,1,3,Vanilla,138022794,4300000,27851
12000,1024,128,1,3,Vanilla,138022794,4400000,31423
12000,1024,128,1,3,Vanilla,138022794,4500000,35105
12000,1024,128,1,3,Vanilla,138022794,4600000,39122
12000,1024,128,1,3,Vanilla,138022794,4700000,43502
12000,1024,128,1,3,Vanilla,138022794,4800000,48138
12000,1024,128,1,3,Vanilla,138022794,4900000,53014
12000,1024,128,1,3,Vanilla,138022794,5000000,58229
12000,1024,128,1,3,Vanilla,138022794,5100000,63766
12000,1024,128,1,3,Vanilla,138022794,5200000,69603
12000,1024,128,1,3,Vanilla,138022794,5300000,75742
12000,1024,128,1,3,Vanilla,138022794,5400000,82285
12000,1024,128,1,3,Vanilla,138022794,5500000,89005
12000,1024,128,1,3,Vanilla,138022794,5600000,96099
12000,1024,128,1,3,Vanilla,138022794,5700000,103356
12000,1024,128,1,3,Vanilla,138022794,5800000,111018
12000,1024,128,1,3,Vanilla,138022794,5900000,119094
12000,1024,128,1,3,Vanilla,138022794,6000000,127397
12000,1024,128,1,3,Vanilla,138022794,6100000,136086
12000,1024,128,1,3,Vanilla,138022794,6200000,145353
12000,1024,128,1,3,Vanilla,138022794,6300000,154697
12000,1024,128,1,3,Vanilla,138022794,6400000,164382
12000,1024,128,1,3,Vanilla,138022794,6500000,174442
