num_node,node_min_capacity,capacity_multiplier,capacity_skew,num_copy,strategy,supply,num_attempt,store_rate,num_stored
12000,1024,128,1,3,Vanilla,136508433,100000,1,100000
12000,1024,128,1,3,Vanilla,136508433,200000,1,200000
12000,1024,128,1,3,Vanilla,136508433,300000,1,300000
12000,1024,128,1,3,Vanilla,136508433,400000,1,400000
12000,1024,128,1,3,Vanilla,136508433,500000,1,500000
12000,1024,128,1,3,Vanilla,136508433,600000,1,600000
12000,1024,128,1,3,Vanilla,136508433,700000,1,700000
12000,1024,128,1,3,Vanilla,136508433,800000,1,800000
12000,1024,128,1,3,Vanilla,136508433,900000,1,900000
12000,1024,128,1,3,Vanilla,136508433,1000000,1,1000000
12000,1024,128,1,3,Vanilla,136508433,1100000,0.99822,1099822
12000,1024,128,1,3,Vanilla,136508433,1200000,0.99701,1199523
12000,1024,128,1,3,Vanilla,136508433,1300000,0.99486,1299009
12000,1024,128,1,3,Vanilla,136508433,1400000,0.99372,1398381
12000,1024,128,1,3,Vanilla,136508433,1500000,0.99078,1497459
12000,1024,128,1,3,Vanilla,136508433,1600000,0.98958,1596417
12000,1024,128,1,3,Vanilla,136508433,1700000,0.98942,1695359
12000,1024,128,1,3,Vanilla,136508433,1800000,0.98869,1794228
12000,1024,128,1,3,Vanilla,136508433,1900000,0.98896,1893124
12000,1024,128,1,3,Vanilla,136508433,2000000,0.98863,1991987
12000,1024,128,1,3,Vanilla,136508433,2100000,0.9687,2088857
12000,1024,128,1,3,Vanilla,136508433,2200000,0.92173,2181030
12000,1024,128,1,3,Vanilla,136508433,2300000,0.88685,2269715
12000,1024,128,1,3,Vanilla,136508433,2400000,0.86454,2356169
12000,1024,128,1,3,Vanilla,136508433,2500000,0.84455,2440624
12000,1024,128,1,3,Vanilla,136508433,2600000,0.82905,2523529
12000,1024,128,1,3,Vanilla,136508433,2700000,0.81463,2604992
12000,1024,128,1,3,Vanilla,136508433,2800000,0.79185,2684177
12000,1024,128,1,3,Vanilla,136508433,2900000,0.75743,2759920
12000,1024,128,1,3,Vanilla,136508433,3000000,0.73096,2833016
12000,1024,128,1,3,Vanilla,136508433,3100000,0.71182,2904198
12000,1024,128,1,3,Vanilla,136508433,3200000,0.69572,2973770
12000,1024,128,1,3,Vanilla,136508433,3300000,0.68684,3042454
12000,1024,128,1,3,Vanilla,136508433,3400000,0.67332,3109786
12000,1024,128,1,3,Vanilla,136508433,3500000,0.65606,3175392
12000,1024,128,1,3,Vanilla,136508433,3600000,0.64407,3239799
12000,1024,128,1,3,Vanilla,136508433,3700000,0.63667,3303466
12000,1024,128,1,3,Vanilla,136508433,3800000,0.62889,3366355
12000,1024,128,1,3,Vanilla,136508433,3900000,0.62698,3429053
12000,1024,128,1,3,Vanilla,136508433,4000000,0.61526,3490579
12000,1024,128,1,3,Vanilla,136508433,4100000,0.59161,3549740
12000,1024,128,1,3,Vanilla,136508433,4200000,0.54876,3604616
12000,1024,128,1,3,Vanilla,136508433,4300000,0.48485,3653101
12000,1024,128,1,3,Vanilla,136508433,4400000,0.42797,3695898
12000,1024,128,1,3,Vanilla,136508433,4500000,0.38725,3734623
12000,1024,128,1,3,Vanilla,136508433,4600000,0.37052,3771675
12000,1024,128,1,3,Vanilla,136508433,4700000,0.35258,3806933
12000,1024,128,1,3,Vanilla,136508433,4800000,0.33671,3840604
12000,1024,128,1,3,Vanilla,136508433,4900000,0.32244,3872848
12000,1024,128,1,3,Vanilla,136508433,5000000,0.30687,3903535
12000,1024,128,1,3,Vanilla,136508433,5100000,0.30085,3933620
12000,1024,128,1,3,Vanilla,136508433,5200000,0.2912,3962740
12000,1024,128,1,3,Vanilla,136508433,5300000,0.28497,3991237
12000,1024,128,1,3,Vanilla,136508433,5400000,0.27958,4019195
12000,1024,128,1,3,Vanilla,136508433,5500000,0.26975,4046170
12000,1024,128,1,3,Vanilla,136508433,5600000,0.25375,4071545
12000,1024,128,1,3,Vanilla,136508433,5700000,0.23689,4095234
12000,1024,128,1,3,Vanilla,136508433,5800000,0.22866,4118100
12000,1024,128,1,3,Vanilla,136508433,5900000,0.21904,4140004
12000,1024,128,1,3,Vanilla,136508433,6000000,0.21068,4161072
12000,1024,128,1,3,Vanilla,136508433,6100000,0.2046,4181532
12000,1024,128,1,3,Vanilla,136508433,6200000,0.19858,4201390
12000,1024,128,1,3,Vanilla,136508433,6300000,0.19169,4220559
12000,1024,128,1,3,Vanilla,136508433,6400000,0.18929,4239488
12000,1024,128,1,3,Vanilla,136508433,6500000,0.18182,4257670
12000,1024,128,1,3,Vanilla,136508433,6600000,0.17798,4275468
12000,1024,128,1,3,Vanilla,136508433,6700000,0.17079,4292547
12000,1024,128,1,3,Vanilla,136508433,6800000,0.16631,4309178
12000,1024,128,1,3,Vanilla,136508433,6900000,0.16054,4325232
12000,1024,128,1,3,Vanilla,136508433,7000000,0.15534,4340766
12000,1024,128,1,3,Vanilla,136508433,7100000,0.15375,4356141
12000,1024,128,1,3,Vanilla,136508433,7200000,0.14979,4371120
12000,1024,128,1,3,Vanilla,136508433,7300000,0.14566,4385686
12000,1024,128,1,3,Vanilla,136508433,7400000,0.14271,4399957
12000,1024,128,1,3,Vanilla,136508433,7500000,0.14219,4414176
12000,1024,128,1,3,Vanilla,136508433,7600000,0.14051,4428227
12000,1024,128,1,3,Vanilla,136508433,7700000,0.13702,4441929
12000,1024,128,1,3,Vanilla,136508433,7800000,0.13466,4455395
12000,1024,128,1,3,Vanilla,136508433,7900000,0.13615,4469010
12000,1024,128,1,3,Vanilla,136508433,8000000,0.13046,4482056
12000,1024,128,1,3,Vanilla,136508433,8100000,0.13109,4495165
