num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,2,3,Classified,12361305,1,1
12000,1024,102400,2,3,Classified,12352399,1,1
12000,1024,102400,2,3,Classified,12341243,1,1
12000,1024,102400,2,3,Classified,12349558,1,1
12000,1024,102400,2,3,Classified,12347739,1,1
12000,1024,102400,2,3,Classified,12348753,1,1
12000,1024,102400,2,3,Classified,12344477,1,1
12000,1024,102400,2,3,Classified,12352815,1,1
12000,1024,102400,2,3,Classified,12360331,1,1
12000,1024,102400,2,3,Classified,12351527,1,1
12000,1024,102400,2,3,Classified,12339875,1,1
12000,1024,102400,2,3,Classified,12352822,1,1
12000,1024,102400,2,3,Classified,12394960,1,1
12000,1024,102400,2,3,Classified,12442412,1,1
12000,1024,102400,2,3,Classified,12382574,1,1
12000,1024,102400,2,3,Classified,12360967,1,1
12000,1024,102400,2,3,Classified,12358497,1,1
12000,1024,102400,2,3,Classified,12356035,1,1
12000,1024,102400,2,3,Classified,12346151,1,1
12000,1024,102400,2,3,Classified,12334296,1,1
12000,1024,102400,2,3,Classified,12346443,1,1
12000,1024,102400,2,3,Classified,12348161,1,1
12000,1024,102400,2,3,Classified,12371998,1,1
12000,1024,102400,2,3,Classified,12350082,1,1
12000,1024,102400,2,3,Classified,12336012,1,1
12000,1024,102400,2,3,Classified,12365246,1,1
12000,1024,102400,2,3,Classified,12347331,1,1
12000,1024,102400,2,3,Classified,12357924,1,1
12000,1024,102400,2,3,Classified,12335961,1,1
12000,1024,102400,2,3,Classified,12357035,1,1
12000,1024,102400,2,3,Classified,12389594,1,1
12000,1024,102400,2,3,Classified,12408369,1,1
12000,1024,102400,2,3,Classified,12353339,1,1
12000,1024,102400,2,3,Classified,12370937,1,1
12000,1024,102400,2,3,Classified,12388469,1,1
12000,1024,102400,2,3,Classified,12334958,1,1
12000,1024,102400,2,3,Classified,12340475,1,1
12000,1024,102400,2,3,Classified,12372761,1,1
12000,1024,102400,2,3,Classified,12336979,1,1
12000,1024,102400,2,3,Classified,12335512,1,1
12000,1024,102400,2,3,Classified,12373935,1,1
12000,1024,102400,2,3,Classified,12343993,1,1
12000,1024,102400,2,3,Classified,12396740,1,1
12000,1024,102400,2,3,Classified,12342204,1,1
12000,1024,102400,2,3,Classified,12385551,1,1
12000,1024,102400,2,3,Classified,12345462,1,1
12000,1024,102400,2,3,Classified,12342776,1,1
12000,1024,102400,2,3,Classified,12352660,1,1
12000,1024,102400,2,3,Classified,12346771,1,1
12000,1024,102400,2,3,Classified,12381613,1,1
12000,1024,102400,2,3,Classified,12364564,1,1
12000,1024,102400,2,3,Classified,12369474,1,1
12000,1024,102400,2,3,Classified,12397515,1,1
12000,1024,102400,2,3,Classified,12354355,1,1
12000,1024,102400,2,3,Classified,12364975,1,1
12000,1024,102400,2,3,Classified,12375283,1,1
12000,1024,102400,2,3,Classified,12341739,1,1
12000,1024,102400,2,3,Classified,12367495,1,1
12000,1024,102400,2,3,Classified,12365174,1,1
12000,1024,102400,2,3,Classified,12350373,1,1
12000,1024,102400,2,3,Classified,12440538,1,1
12000,1024,102400,2,3,Classified,12364991,1,1
12000,1024,102400,2,3,Classified,12371042,1,1
12000,1024,102400,2,3,Classified,12355584,1,1
12000,1024,102400,2,3,Classified,12375419,1,1
12000,1024,102400,2,3,Classified,12406678,1,1
12000,1024,102400,2,3,Classified,12381222,1,1
12000,1024,102400,2,3,Classified,12394944,1,1
12000,1024,102400,2,3,Classified,12365028,1,1
12000,1024,102400,2,3,Classified,12342979,1,1
12000,1024,102400,2,3,Classified,12356398,1,1
12000,1024,102400,2,3,Classified,12350710,1,1
12000,1024,102400,2,3,Classified,12389337,1,1
12000,1024,102400,2,3,Classified,12358927,1,1
12000,1024,102400,2,3,Classified,12341450,1,1
12000,1024,102400,2,3,Classified,12346603,1,1
12000,1024,102400,2,3,Classified,12351049,1,1
12000,1024,102400,2,3,Classified,12337976,1,1
12000,1024,102400,2,3,Classified,12348909,1,1
12000,1024,102400,2,3,Classified,12384646,1,1
12000,1024,102400,2,3,Classified,12345356,1,1
12000,1024,102400,2,3,Classified,12387182,1,1
12000,1024,102400,2,3,Classified,12377094,1,1
12000,1024,102400,2,3,Classified,12366909,1,1
12000,1024,102400,2,3,Classified,12348439,1,1
12000,1024,102400,2,3,Classified,12354402,1,1
12000,1024,102400,2,3,Classified,12344199,1,1
12000,1024,102400,2,3,Classified,12367743,1,1
12000,1024,102400,2,3,Classified,12348329,1,1
12000,1024,102400,2,3,Classified,12444613,1,1
12000,1024,102400,2,3,Classified,12362547,1,1
12000,1024,102400,2,3,Classified,12389721,1,1
12000,1024,102400,2,3,Classified,12354303,1,1
12000,1024,102400,2,3,Classified,12349908,1,1
12000,1024,102400,2,3,Classified,12351350,1,1
12000,1024,102400,2,3,Classified,12348911,1,1
12000,1024,102400,2,3,Classified,12357377,1,1
12000,1024,102400,2,3,Classified,12367615,1,1
12000,1024,102400,2,3,Classified,12335752,1,1
12000,1024,102400,2,3,Classified,12398530,1,1
