num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,1,3,Classified+TwoChoices,114165394,1,1
12000,1024,102400,1,3,Classified+TwoChoices,115058732,1,1
12000,1024,102400,1,3,Classified+TwoChoices,108833830,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109989855,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110200135,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113337002,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112838033,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113247510,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114400233,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110689148,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111672629,1,1
12000,1024,102400,1,3,Classified+TwoChoices,117004692,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114408600,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113047469,1,1
12000,1024,102400,1,3,Classified+TwoChoices,115105404,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114516601,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109887782,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110569350,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114760196,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109855583,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112885775,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110934324,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114290828,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114094509,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113731339,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110927107,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113734517,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112532008,1,1
12000,1024,102400,1,3,Classified+TwoChoices,118117393,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112741317,1,1
12000,1024,102400,1,3,Classified+TwoChoices,115253850,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112951799,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112815427,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114107143,1,1
12000,1024,102400,1,3,Classified+TwoChoices,117602278,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113699332,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114043724,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112930082,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110531323,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110448238,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114974042,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113021758,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112437745,1,1
12000,1024,102400,1,3,Classified+TwoChoices,108177638,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113075795,1,1
12000,1024,102400,1,3,Classified+TwoChoices,116006731,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114192779,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113358822,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110234946,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111882699,1,1
12000,1024,102400,1,3,Classified+TwoChoices,115888059,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111481147,1,1
12000,1024,102400,1,3,Classified+TwoChoices,108728563,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113570374,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112404282,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111465468,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111059121,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114841232,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111423816,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113776766,1,1
12000,1024,102400,1,3,Classified+TwoChoices,118608296,1,1
12000,1024,102400,1,3,Classified+TwoChoices,117831489,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110252127,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109972474,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109825191,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113634485,1,1
12000,1024,102400,1,3,Classified+TwoChoices,116567392,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113433122,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111246767,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112847571,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113726206,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114133476,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111046006,1,1
12000,1024,102400,1,3,Classified+TwoChoices,115313220,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109666681,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112831973,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114505044,1,1
12000,1024,102400,1,3,Classified+TwoChoices,113048778,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111550064,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114952052,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114212529,1,1
12000,1024,102400,1,3,Classified+TwoChoices,117357586,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114162795,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110111226,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111833243,1,1
12000,1024,102400,1,3,Classified+TwoChoices,108716881,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112603280,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111794214,1,1
12000,1024,102400,1,3,Classified+TwoChoices,110061194,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114070981,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112429380,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114314483,1,1
12000,1024,102400,1,3,Classified+TwoChoices,114357773,1,1
12000,1024,102400,1,3,Classified+TwoChoices,109034666,1,1
12000,1024,102400,1,3,Classified+TwoChoices,111510121,1,1
12000,1024,102400,1,3,Classified+TwoChoices,112737313,1,1
