num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,1.7,3,Classified,13061681,1,1
12000,1024,102400,1.7,3,Classified,12810693,1,1
12000,1024,102400,1.7,3,Classified,13013746,1,1
12000,1024,102400,1.7,3,Classified,12845739,1,1
12000,1024,102400,1.7,3,Classified,12813225,1,1
12000,1024,102400,1.7,3,Classified,12837100,1,1
12000,1024,102400,1.7,3,Classified,12770631,1,1
12000,1024,102400,1.7,3,Classified,12931151,1,1
12000,1024,102400,1.7,3,Classified,13013916,1,1
12000,1024,102400,1.7,3,Classified,12724194,1,1
12000,1024,102400,1.7,3,Classified,13040467,1,1
12000,1024,102400,1.7,3,Classified,12993274,1,1
12000,1024,102400,1.7,3,Classified,12808372,1,1
12000,1024,102400,1.7,3,Classified,12913527,1,1
12000,1024,102400,1.7,3,Classified,12697664,1,1
12000,1024,102400,1.7,3,Classified,12748176,1,1
12000,1024,102400,1.7,3,Classified,12999420,1,1
12000,1024,102400,1.7,3,Classified,12867769,1,1
12000,1024,102400,1.7,3,Classified,12953390,1,1
12000,1024,102400,1.7,3,Classified,12722666,1,1
12000,1024,102400,1.7,3,Classified,12834920,1,1
12000,1024,102400,1.7,3,Classified,12980906,1,1
12000,1024,102400,1.7,3,Classified,12800734,1,1
12000,1024,102400,1.7,3,Classified,12697708,1,1
12000,1024,102400,1.7,3,Classified,12801868,1,1
12000,1024,102400,1.7,3,Classified,12884700,1,1
12000,1024,102400,1.7,3,Classified,12912426,1,1
12000,1024,102400,1.7,3,Classified,12846752,1,1
12000,1024,102400,1.7,3,Classified,13043614,1,1
12000,1024,102400,1.7,3,Classified,12965849,1,1
12000,1024,102400,1.7,3,Classified,12930625,1,1
12000,1024,102400,1.7,3,Classified,12747157,1,1
12000,1024,102400,1.7,3,Classified,12972925,1,1
12000,1024,102400,1.7,3,Classified,12884641,1,1
12000,1024,102400,1.7,3,Classified,12972619,1,1
12000,1024,102400,1.7,3,Classified,12939523,1,1
12000,1024,102400,1.7,3,Classified,12846924,1,1
12000,1024,102400,1.7,3,Classified,12836586,1,1
12000,1024,102400,1.7,3,Classified,12811542,1,1
12000,1024,102400,1.7,3,Classified,13003996,1,1
12000,1024,102400,1.7,3,Classified,12895709,1,1
12000,1024,102400,1.7,3,Classified,12721418,1,1
12000,1024,102400,1.7,3,Classified,12816294,1,1
12000,1024,102400,1.7,3,Classified,12905899,1,1
12000,1024,102400,1.7,3,Classified,12899286,1,1
12000,1024,102400,1.7,3,Classified,12838867,1,1
12000,1024,102400,1.7,3,Classified,12703675,1,1
12000,1024,102400,1.7,3,Classified,12981792,1,1
12000,1024,102400,1.7,3,Classified,12627483,1,1
12000,1024,102400,1.7,3,Classified,13215160,1,1
12000,1024,102400,1.7,3,Classified,12968087,1,1
12000,1024,102400,1.7,3,Classified,12669411,1,1
12000,1024,102400,1.7,3,Classified,12709515,1,1
12000,1024,102400,1.7,3,Classified,12863903,1,1
12000,1024,102400,1.7,3,Classified,13208567,1,1
12000,1024,102400,1.7,3,Classified,12805242,1,1
12000,1024,102400,1.7,3,Classified,12670594,1,1
12000,1024,102400,1.7,3,Classified,12734449,1,1
12000,1024,102400,1.7,3,Classified,12775287,1,1
12000,1024,102400,1.7,3,Classified,12984648,1,1
12000,1024,102400,1.7,3,Classified,12973546,1,1
12000,1024,102400,1.7,3,Classified,12846623,1,1
12000,1024,102400,1.7,3,Classified,12869364,1,1
12000,1024,102400,1.7,3,Classified,12869709,1,1
12000,1024,102400,1.7,3,Classified,13033806,1,1
12000,1024,102400,1.7,3,Classified,12739532,1,1
12000,1024,102400,1.7,3,Classified,12934891,1,1
12000,1024,102400,1.7,3,Classified,13003499,1,1
12000,1024,102400,1.7,3,Classified,12877639,1,1
12000,1024,102400,1.7,3,Classified,12939982,1,1
12000,1024,102400,1.7,3,Classified,12874157,1,1
12000,1024,102400,1.7,3,Classified,13009228,1,1
12000,1024,102400,1.7,3,Classified,12937866,1,1
12000,1024,102400,1.7,3,Classified,12756673,1,1
12000,1024,102400,1.7,3,Classified,12894345,1,1
12000,1024,102400,1.7,3,Classified,12955203,1,1
12000,1024,102400,1.7,3,Classified,12945535,1,1
12000,1024,102400,1.7,3,Classified,12805578,1,1
12000,1024,102400,1.7,3,Classified,12838669,1,1
12000,1024,102400,1.7,3,Classified,13088561,1,1
12000,1024,102400,1.7,3,Classified,12879245,1,1
12000,1024,102400,1.7,3,Classified,12796895,1,1
12000,1024,102400,1.7,3,Classified,12726042,1,1
12000,1024,102400,1.7,3,Classified,12782589,1,1
12000,1024,102400,1.7,3,Classified,12881102,1,1
12000,1024,102400,1.7,3,Classified,12671218,1,1
12000,1024,102400,1.7,3,Classified,12920597,1,1
12000,1024,102400,1.7,3,Classified,12775967,1,1
12000,1024,102400,1.7,3,Classified,12831481,1,1
12000,1024,102400,1.7,3,Classified,12825833,1,1
12000,1024,102400,1.7,3,Classified,12916936,1,1
12000,1024,102400,1.7,3,Classified,12967369,1,1
12000,1024,102400,1.7,3,Classified,12858953,1,1
12000,1024,102400,1.7,3,Classified,12894652,1,1
12000,1024,102400,1.7,3,Classified,12757945,1,1
12000,1024,102400,1.7,3,Classified,12704443,1,1
12000,1024,102400,1.7,3,Classified,13243920,1,1
12000,1024,102400,1.7,3,Classified,12885311,1,1
12000,1024,102400,1.7,3,Classified,12884119,1,1
12000,1024,102400,1.7,3,Classified,12873800,1,1
