num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,1.5,3,Classified,15128977,1,1
12000,1024,102400,1.5,3,Classified,15648484,1,1
12000,1024,102400,1.5,3,Classified,15280390,1,1
12000,1024,102400,1.5,3,Classified,15583583,1,1
12000,1024,102400,1.5,3,Classified,15583583,2,1011702
12000,1024,102400,1.5,3,Classified,15068552,1,1
12000,1024,102400,1.5,3,Classified,15200305,1,1
12000,1024,102400,1.5,3,Classified,15274266,1,1
12000,1024,102400,1.5,3,Classified,15408154,1,1
12000,1024,102400,1.5,3,Classified,15266720,1,1
12000,1024,102400,1.5,3,Classified,15027764,1,1
12000,1024,102400,1.5,3,Classified,15481598,1,1
12000,1024,102400,1.5,3,Classified,15232225,1,1
12000,1024,102400,1.5,3,Classified,15271555,1,1
12000,1024,102400,1.5,3,Classified,14968861,1,1
12000,1024,102400,1.5,3,Classified,15257000,1,1
12000,1024,102400,1.5,3,Classified,14831229,1,1
12000,1024,102400,1.5,3,Classified,14985404,1,1
12000,1024,102400,1.5,3,Classified,15129537,1,1
12000,1024,102400,1.5,3,Classified,14735153,1,1
12000,1024,102400,1.5,3,Classified,14959775,1,1
12000,1024,102400,1.5,3,Classified,15447190,1,1
12000,1024,102400,1.5,3,Classified,15346425,1,1
12000,1024,102400,1.5,3,Classified,15510958,1,1
12000,1024,102400,1.5,3,Classified,15452047,1,1
12000,1024,102400,1.5,3,Classified,14732412,1,1
12000,1024,102400,1.5,3,Classified,15352827,1,1
12000,1024,102400,1.5,3,Classified,15174794,1,1
12000,1024,102400,1.5,3,Classified,14949531,1,1
12000,1024,102400,1.5,3,Classified,15005028,1,1
12000,1024,102400,1.5,3,Classified,14274303,1,1
12000,1024,102400,1.5,3,Classified,15017783,1,1
12000,1024,102400,1.5,3,Classified,15034060,1,1
12000,1024,102400,1.5,3,Classified,14467069,1,1
12000,1024,102400,1.5,3,Classified,14890050,1,1
12000,1024,102400,1.5,3,Classified,15497544,1,1
12000,1024,102400,1.5,3,Classified,14819025,1,1
12000,1024,102400,1.5,3,Classified,14833563,1,1
12000,1024,102400,1.5,3,Classified,15337227,1,1
12000,1024,102400,1.5,3,Classified,15293880,1,1
12000,1024,102400,1.5,3,Classified,15278275,1,1
12000,1024,102400,1.5,3,Classified,15657208,1,1
12000,1024,102400,1.5,3,Classified,14756054,1,1
12000,1024,102400,1.5,3,Classified,15226571,1,1
12000,1024,102400,1.5,3,Classified,15044079,1,1
12000,1024,102400,1.5,3,Classified,15249186,1,1
12000,1024,102400,1.5,3,Classified,15174050,1,1
12000,1024,102400,1.5,3,Classified,15214007,1,1
12000,1024,102400,1.5,3,Classified,15032466,1,1
12000,1024,102400,1.5,3,Classified,15062985,1,1
12000,1024,102400,1.5,3,Classified,15934727,1,1
12000,1024,102400,1.5,3,Classified,15934727,2,987301
12000,1024,102400,1.5,3,Classified,15287953,1,1
12000,1024,102400,1.5,3,Classified,15507462,1,1
12000,1024,102400,1.5,3,Classified,15202732,1,1
12000,1024,102400,1.5,3,Classified,14883545,1,1
12000,1024,102400,1.5,3,Classified,14994835,1,1
12000,1024,102400,1.5,3,Classified,15599835,1,1
12000,1024,102400,1.5,3,Classified,15101582,1,1
12000,1024,102400,1.5,3,Classified,15101582,2,1002519
12000,1024,102400,1.5,3,Classified,14519619,1,1
12000,1024,102400,1.5,3,Classified,15062331,1,1
12000,1024,102400,1.5,3,Classified,15414202,1,1
12000,1024,102400,1.5,3,Classified,15414202,2,1003854
12000,1024,102400,1.5,3,Classified,14925237,1,1
12000,1024,102400,1.5,3,Classified,14845777,1,1
12000,1024,102400,1.5,3,Classified,14928485,1,1
12000,1024,102400,1.5,3,Classified,15038698,1,1
12000,1024,102400,1.5,3,Classified,15602926,1,1
12000,1024,102400,1.5,3,Classified,15890369,1,1
12000,1024,102400,1.5,3,Classified,14965845,1,1
12000,1024,102400,1.5,3,Classified,14982740,1,1
12000,1024,102400,1.5,3,Classified,15083541,1,1
12000,1024,102400,1.5,3,Classified,15166582,1,1
12000,1024,102400,1.5,3,Classified,14585966,1,1
12000,1024,102400,1.5,3,Classified,14679926,1,1
12000,1024,102400,1.5,3,Classified,15682532,1,1
12000,1024,102400,1.5,3,Classified,15679999,1,1
12000,1024,102400,1.5,3,Classified,14768603,1,1
12000,1024,102400,1.5,3,Classified,15567905,1,1
12000,1024,102400,1.5,3,Classified,15571875,1,1
12000,1024,102400,1.5,3,Classified,15717427,1,1
12000,1024,102400,1.5,3,Classified,14825318,1,1
12000,1024,102400,1.5,3,Classified,15406121,1,1
12000,1024,102400,1.5,3,Classified,15071725,1,1
12000,1024,102400,1.5,3,Classified,15134082,1,1
12000,1024,102400,1.5,3,Classified,15645402,1,1
12000,1024,102400,1.5,3,Classified,15208712,1,1
12000,1024,102400,1.5,3,Classified,15245342,1,1
12000,1024,102400,1.5,3,Classified,15055777,1,1
12000,1024,102400,1.5,3,Classified,14723805,1,1
12000,1024,102400,1.5,3,Classified,15125534,1,1
12000,1024,102400,1.5,3,Classified,15125534,2,997543
12000,1024,102400,1.5,3,Classified,15521595,1,1
12000,1024,102400,1.5,3,Classified,15662546,1,1
12000,1024,102400,1.5,3,Classified,14820130,1,1
12000,1024,102400,1.5,3,Classified,14903877,1,1
12000,1024,102400,1.5,3,Classified,15442819,1,1
12000,1024,102400,1.5,3,Classified,15609577,1,1
12000,1024,102400,1.5,3,Classified,14749128,1,1
12000,1024,102400,1.5,3,Classified,15055913,1,1
12000,1024,102400,1.5,3,Classified,15614549,1,1
12000,1024,102400,1.5,3,Classified,15267905,1,1
12000,1024,102400,1.5,3,Classified,15560966,1,1
12000,1024,102400,1.5,3,Classified,15061692,1,1
