num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,1.8,3,Classified+TwoChoices,12618473,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12649697,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12670096,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12665069,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12566717,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12481492,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12592574,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12502554,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12520099,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12525117,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12612405,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12497123,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12485489,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12603667,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12902893,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12493553,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12500798,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12535869,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12611762,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12741129,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12634758,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12544731,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12591898,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12555050,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12739150,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12525284,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12453668,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12598790,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12560192,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12530173,1,1
12000,1024,102400,1.8,3,Classified+TwoChoices,12552166,1,1
