num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,1.2,3,Vanilla,40280762,1,1
12000,1024,102400,1.2,3,Vanilla,40280762,2,1078044
12000,1024,102400,1.2,3,Vanilla,40280762,3,1390140
12000,1024,102400,1.2,3,Vanilla,40280762,4,1545819
12000,1024,102400,1.2,3,Vanilla,40280762,5,2023163
12000,1024,102400,1.2,3,Vanilla,40280762,7,2095914
12000,1024,102400,1.2,3,Vanilla,40280762,8,2201690
12000,1024,102400,1.2,3,Vanilla,40280762,9,2435167
12000,1024,102400,1.2,3,Vanilla,40280762,10,2591231
12000,1024,102400,1.2,3,Vanilla,40280762,11,2797383
12000,1024,102400,1.2,3,Vanilla,40280762,14,2835838
12000,1024,102400,1.2,3,Vanilla,40280762,16,3181628
12000,1024,102400,1.2,3,Vanilla,40280762,18,3363637
12000,1024,102400,1.2,3,Vanilla,40280762,19,3450097
12000,1024,102400,1.2,3,Vanilla,40280762,27,3471517
12000,1024,102400,1.2,3,Vanilla,40280762,29,3527023
12000,1024,102400,1.2,3,Vanilla,40280762,31,3535270
12000,1024,102400,1.2,3,Vanilla,40280762,36,3551080
12000,1024,102400,1.2,3,Vanilla,40280762,38,3651430
12000,1024,102400,1.2,3,Vanilla,40280762,39,3676153
12000,1024,102400,1.2,3,Vanilla,40280762,42,3683455
12000,1024,102400,1.2,3,Vanilla,40280762,52,3712306
12000,1024,102400,1.2,3,Vanilla,40280762,53,3805269
12000,1024,102400,1.2,3,Vanilla,40280762,62,3807822
12000,1024,102400,1.2,3,Vanilla,40280762,67,3849492
12000,1024,102400,1.2,3,Vanilla,40280762,75,3866200
12000,1024,102400,1.2,3,Vanilla,40280762,76,3873442
12000,1024,102400,1.2,3,Vanilla,40280762,77,3878689
12000,1024,102400,1.2,3,Vanilla,40280762,86,3880807
12000,1024,102400,1.2,3,Vanilla,40280762,93,3908735
12000,1024,102400,1.2,3,Vanilla,43650224,1,1
12000,1024,102400,1.2,3,Vanilla,43650224,2,1028302
12000,1024,102400,1.2,3,Vanilla,43650224,3,1113974
12000,1024,102400,1.2,3,Vanilla,43650224,4,1420021
12000,1024,102400,1.2,3,Vanilla,43650224,5,2044197
12000,1024,102400,1.2,3,Vanilla,43650224,6,2094742
12000,1024,102400,1.2,3,Vanilla,43650224,7,2134389
12000,1024,102400,1.2,3,Vanilla,43650224,8,2267605
12000,1024,102400,1.2,3,Vanilla,43650224,9,2415218
12000,1024,102400,1.2,3,Vanilla,43650224,11,2651031
12000,1024,102400,1.2,3,Vanilla,43650224,13,2745481
12000,1024,102400,1.2,3,Vanilla,43650224,14,2860113
12000,1024,102400,1.2,3,Vanilla,43650224,15,3021266
12000,1024,102400,1.2,3,Vanilla,43650224,16,3396975
12000,1024,102400,1.2,3,Vanilla,43650224,20,3423646
12000,1024,102400,1.2,3,Vanilla,43650224,25,3472477
12000,1024,102400,1.2,3,Vanilla,43650224,26,3477958
12000,1024,102400,1.2,3,Vanilla,43650224,29,3493085
12000,1024,102400,1.2,3,Vanilla,43650224,31,3544739
12000,1024,102400,1.2,3,Vanilla,43650224,34,3548492
12000,1024,102400,1.2,3,Vanilla,43650224,35,3582516
12000,1024,102400,1.2,3,Vanilla,43650224,38,3604140
12000,1024,102400,1.2,3,Vanilla,43650224,39,3647918
12000,1024,102400,1.2,3,Vanilla,43650224,43,3653427
12000,1024,102400,1.2,3,Vanilla,43650224,49,3665921
12000,1024,102400,1.2,3,Vanilla,43650224,57,3707486
12000,1024,102400,1.2,3,Vanilla,43650224,77,3779299
12000,1024,102400,1.2,3,Vanilla,43650224,78,3854901
12000,1024,102400,1.2,3,Vanilla,43650224,81,3857663
12000,1024,102400,1.2,3,Vanilla,43650224,84,3865572
12000,1024,102400,1.2,3,Vanilla,43650224,93,3872648
12000,1024,102400,1.2,3,Vanilla,42999995,1,1
12000,1024,102400,1.2,3,Vanilla,42999995,2,1022270
12000,1024,102400,1.2,3,Vanilla,42999995,3,1138146
12000,1024,102400,1.2,3,Vanilla,42999995,4,1982318
12000,1024,102400,1.2,3,Vanilla,42999995,5,2074026
12000,1024,102400,1.2,3,Vanilla,42999995,6,2084515
12000,1024,102400,1.2,3,Vanilla,42999995,7,2252900
12000,1024,102400,1.2,3,Vanilla,42999995,8,2377743
12000,1024,102400,1.2,3,Vanilla,42999995,9,2498949
12000,1024,102400,1.2,3,Vanilla,42999995,10,2518340
12000,1024,102400,1.2,3,Vanilla,42999995,12,2559024
12000,1024,102400,1.2,3,Vanilla,42999995,13,2685392
12000,1024,102400,1.2,3,Vanilla,42999995,15,3001833
12000,1024,102400,1.2,3,Vanilla,42999995,17,3030025
12000,1024,102400,1.2,3,Vanilla,42999995,19,3382293
12000,1024,102400,1.2,3,Vanilla,42999995,20,3425034
12000,1024,102400,1.2,3,Vanilla,42999995,22,3447892
12000,1024,102400,1.2,3,Vanilla,42999995,24,3466816
12000,1024,102400,1.2,3,Vanilla,42999995,25,3481023
12000,1024,102400,1.2,3,Vanilla,42999995,27,3484023
12000,1024,102400,1.2,3,Vanilla,42999995,30,3509450
12000,1024,102400,1.2,3,Vanilla,42999995,32,3559549
12000,1024,102400,1.2,3,Vanilla,42999995,36,3595062
12000,1024,102400,1.2,3,Vanilla,42999995,42,3650105
12000,1024,102400,1.2,3,Vanilla,42999995,43,3655634
12000,1024,102400,1.2,3,Vanilla,42999995,44,3724295
12000,1024,102400,1.2,3,Vanilla,42999995,56,3743092
12000,1024,102400,1.2,3,Vanilla,42999995,57,3787205
12000,1024,102400,1.2,3,Vanilla,42999995,74,3832129
12000,1024,102400,1.2,3,Vanilla,42999995,78,3865778
12000,1024,102400,1.2,3,Vanilla,42999995,91,3877550
12000,1024,102400,1.2,3,Vanilla,42999995,101,3887232
12000,1024,102400,1.2,3,Vanilla,42474538,1,1
12000,1024,102400,1.2,3,Vanilla,42474538,2,1056022
12000,1024,102400,1.2,3,Vanilla,42474538,3,1213229
12000,1024,102400,1.2,3,Vanilla,42474538,4,1683522
12000,1024,102400,1.2,3,Vanilla,42474538,5,2064352
12000,1024,102400,1.2,3,Vanilla,42474538,6,2148719
12000,1024,102400,1.2,3,Vanilla,42474538,7,2168872
12000,1024,102400,1.2,3,Vanilla,42474538,8,2170452
12000,1024,102400,1.2,3,Vanilla,42474538,9,2310059
12000,1024,102400,1.2,3,Vanilla,42474538,13,2728553
12000,1024,102400,1.2,3,Vanilla,42474538,14,2922877
12000,1024,102400,1.2,3,Vanilla,42474538,15,3135740
12000,1024,102400,1.2,3,Vanilla,42474538,17,3174067
12000,1024,102400,1.2,3,Vanilla,42474538,19,3420733
12000,1024,102400,1.2,3,Vanilla,42474538,20,3439367
12000,1024,102400,1.2,3,Vanilla,42474538,21,3465144
12000,1024,102400,1.2,3,Vanilla,42474538,23,3502516
12000,1024,102400,1.2,3,Vanilla,42474538,24,3511204
12000,1024,102400,1.2,3,Vanilla,42474538,28,3524578
12000,1024,102400,1.2,3,Vanilla,42474538,30,3554728
12000,1024,102400,1.2,3,Vanilla,42474538,39,3572039
12000,1024,102400,1.2,3,Vanilla,42474538,47,3681393
12000,1024,102400,1.2,3,Vanilla,42474538,54,3746752
12000,1024,102400,1.2,3,Vanilla,42474538,58,3768244
12000,1024,102400,1.2,3,Vanilla,42474538,70,3815310
12000,1024,102400,1.2,3,Vanilla,42474538,72,3849855
12000,1024,102400,1.2,3,Vanilla,42474538,96,3877107
12000,1024,102400,1.2,3,Vanilla,42474538,97,3889912
12000,1024,102400,1.2,3,Vanilla,43320112,1,1
12000,1024,102400,1.2,3,Vanilla,43320112,2,1008062
12000,1024,102400,1.2,3,Vanilla,43320112,3,1187329
12000,1024,102400,1.2,3,Vanilla,43320112,4,1574574
12000,1024,102400,1.2,3,Vanilla,43320112,5,1873822
12000,1024,102400,1.2,3,Vanilla,43320112,7,2121559
12000,1024,102400,1.2,3,Vanilla,43320112,8,2318062
12000,1024,102400,1.2,3,Vanilla,43320112,9,2524519
12000,1024,102400,1.2,3,Vanilla,43320112,10,2525704
12000,1024,102400,1.2,3,Vanilla,43320112,11,2570736
12000,1024,102400,1.2,3,Vanilla,43320112,13,2720477
12000,1024,102400,1.2,3,Vanilla,43320112,15,3174336
12000,1024,102400,1.2,3,Vanilla,43320112,17,3381633
12000,1024,102400,1.2,3,Vanilla,43320112,23,3443632
12000,1024,102400,1.2,3,Vanilla,43320112,24,3485950
12000,1024,102400,1.2,3,Vanilla,43320112,26,3534981
12000,1024,102400,1.2,3,Vanilla,43320112,30,3542783
12000,1024,102400,1.2,3,Vanilla,43320112,34,3587165
12000,1024,102400,1.2,3,Vanilla,43320112,35,3635426
12000,1024,102400,1.2,3,Vanilla,43320112,38,3648287
12000,1024,102400,1.2,3,Vanilla,43320112,39,3653285
12000,1024,102400,1.2,3,Vanilla,43320112,42,3694803
12000,1024,102400,1.2,3,Vanilla,43320112,52,3748093
12000,1024,102400,1.2,3,Vanilla,43320112,55,3764532
12000,1024,102400,1.2,3,Vanilla,43320112,59,3797823
12000,1024,102400,1.2,3,Vanilla,43320112,65,3814527
12000,1024,102400,1.2,3,Vanilla,43320112,77,3838690
12000,1024,102400,1.2,3,Vanilla,43320112,93,3873810
12000,1024,102400,1.2,3,Vanilla,43320112,94,3902166
12000,1024,102400,1.2,3,Vanilla,41698607,1,1
12000,1024,102400,1.2,3,Vanilla,41698607,2,1198909
12000,1024,102400,1.2,3,Vanilla,41698607,3,1357056
12000,1024,102400,1.2,3,Vanilla,41698607,4,1950588
12000,1024,102400,1.2,3,Vanilla,41698607,5,2104121
12000,1024,102400,1.2,3,Vanilla,41698607,6,2111212
12000,1024,102400,1.2,3,Vanilla,41698607,7,2191438
12000,1024,102400,1.2,3,Vanilla,41698607,9,2289643
12000,1024,102400,1.2,3,Vanilla,41698607,10,2295712
12000,1024,102400,1.2,3,Vanilla,41698607,11,2732939
12000,1024,102400,1.2,3,Vanilla,41698607,12,2744935
12000,1024,102400,1.2,3,Vanilla,41698607,16,2914347
12000,1024,102400,1.2,3,Vanilla,41698607,18,3464235
12000,1024,102400,1.2,3,Vanilla,41698607,19,3465069
12000,1024,102400,1.2,3,Vanilla,41698607,20,3490369
12000,1024,102400,1.2,3,Vanilla,41698607,23,3514425
12000,1024,102400,1.2,3,Vanilla,41698607,31,3536669
12000,1024,102400,1.2,3,Vanilla,41698607,34,3568420
12000,1024,102400,1.2,3,Vanilla,41698607,38,3638547
12000,1024,102400,1.2,3,Vanilla,41698607,42,3675295
12000,1024,102400,1.2,3,Vanilla,41698607,68,3722675
12000,1024,102400,1.2,3,Vanilla,41698607,70,3843448
12000,1024,102400,1.2,3,Vanilla,41698607,83,3845503
12000,1024,102400,1.2,3,Vanilla,41698607,84,3864987
12000,1024,102400,1.2,3,Vanilla,41698607,87,3874142
12000,1024,102400,1.2,3,Vanilla,41698607,89,3902589
12000,1024,102400,1.2,3,Vanilla,41698607,90,3914752
12000,1024,102400,1.2,3,Vanilla,41698607,94,3937680
12000,1024,102400,1.2,3,Vanilla,39882675,1,1
12000,1024,102400,1.2,3,Vanilla,39882675,2,974169
12000,1024,102400,1.2,3,Vanilla,39882675,3,1140716
12000,1024,102400,1.2,3,Vanilla,39882675,4,1535239
12000,1024,102400,1.2,3,Vanilla,39882675,5,1990402
12000,1024,102400,1.2,3,Vanilla,39882675,7,2149594
12000,1024,102400,1.2,3,Vanilla,39882675,8,2271286
12000,1024,102400,1.2,3,Vanilla,39882675,9,2438959
12000,1024,102400,1.2,3,Vanilla,39882675,10,2557436
12000,1024,102400,1.2,3,Vanilla,39882675,11,2601364
12000,1024,102400,1.2,3,Vanilla,39882675,12,2810009
12000,1024,102400,1.2,3,Vanilla,39882675,13,2828354
12000,1024,102400,1.2,3,Vanilla,39882675,14,2887825
12000,1024,102400,1.2,3,Vanilla,39882675,15,3140579
12000,1024,102400,1.2,3,Vanilla,39882675,16,3206005
12000,1024,102400,1.2,3,Vanilla,39882675,18,3310688
12000,1024,102400,1.2,3,Vanilla,39882675,19,3423112
12000,1024,102400,1.2,3,Vanilla,39882675,21,3461882
12000,1024,102400,1.2,3,Vanilla,39882675,23,3464040
12000,1024,102400,1.2,3,Vanilla,39882675,24,3467310
12000,1024,102400,1.2,3,Vanilla,39882675,25,3481137
12000,1024,102400,1.2,3,Vanilla,39882675,26,3487790
12000,1024,102400,1.2,3,Vanilla,39882675,30,3511694
12000,1024,102400,1.2,3,Vanilla,39882675,32,3538590
12000,1024,102400,1.2,3,Vanilla,39882675,47,3579845
12000,1024,102400,1.2,3,Vanilla,39882675,51,3712701
12000,1024,102400,1.2,3,Vanilla,39882675,54,3770486
12000,1024,102400,1.2,3,Vanilla,39882675,59,3789497
12000,1024,102400,1.2,3,Vanilla,39882675,60,3798526
12000,1024,102400,1.2,3,Vanilla,39882675,62,3816241
12000,1024,102400,1.2,3,Vanilla,39882675,64,3832171
12000,1024,102400,1.2,3,Vanilla,39882675,70,3833233
12000,1024,102400,1.2,3,Vanilla,39882675,83,3848934
12000,1024,102400,1.2,3,Vanilla,39882675,88,3857098
12000,1024,102400,1.2,3,Vanilla,39882675,93,3862558
12000,1024,102400,1.2,3,Vanilla,39882675,98,3879248
12000,1024,102400,1.2,3,Vanilla,40307172,1,1
12000,1024,102400,1.2,3,Vanilla,40307172,2,1031436
12000,1024,102400,1.2,3,Vanilla,40307172,3,1131808
12000,1024,102400,1.2,3,Vanilla,40307172,4,1262766
12000,1024,102400,1.2,3,Vanilla,40307172,5,2074827
12000,1024,102400,1.2,3,Vanilla,40307172,6,2124705
12000,1024,102400,1.2,3,Vanilla,40307172,7,2177729
12000,1024,102400,1.2,3,Vanilla,40307172,8,2379271
12000,1024,102400,1.2,3,Vanilla,40307172,9,2395797
12000,1024,102400,1.2,3,Vanilla,40307172,10,2558404
12000,1024,102400,1.2,3,Vanilla,40307172,12,2770780
12000,1024,102400,1.2,3,Vanilla,40307172,14,2774195
12000,1024,102400,1.2,3,Vanilla,40307172,16,3094434
