num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_attempt,num_stored
12000,1024,102400,2,3,Vanilla,12380711,1,1
12000,1024,102400,2,3,Vanilla,12380711,2,1025620
12000,1024,102400,2,3,Vanilla,12380711,3,1204330
12000,1024,102400,2,3,Vanilla,12380711,4,1396871
12000,1024,102400,2,3,Vanilla,12380711,5,2058202
12000,1024,102400,2,3,Vanilla,12380711,7,2068181
12000,1024,102400,2,3,Vanilla,12380711,8,2205223
12000,1024,102400,2,3,Vanilla,12380711,9,2412460
12000,1024,102400,2,3,Vanilla,12380711,11,2431381
12000,1024,102400,2,3,Vanilla,12380711,12,2704865
12000,1024,102400,2,3,Vanilla,12380711,14,2714769
12000,1024,102400,2,3,Vanilla,12380711,15,2898947
12000,1024,102400,2,3,Vanilla,12380711,16,2900794
12000,1024,102400,2,3,Vanilla,12380711,21,3303690
12000,1024,102400,2,3,Vanilla,12380711,22,3403040
12000,1024,102400,2,3,Vanilla,12380711,25,3411960
12000,1024,102400,2,3,Vanilla,12380711,30,3425787
12000,1024,102400,2,3,Vanilla,12380711,34,3428930
12000,1024,102400,2,3,Vanilla,12380711,40,3456216
12000,1024,102400,2,3,Vanilla,12380711,43,3516054
12000,1024,102400,2,3,Vanilla,12380711,51,3545859
12000,1024,102400,2,3,Vanilla,12380711,58,3621775
12000,1024,102400,2,3,Vanilla,12380711,60,3679923
12000,1024,102400,2,3,Vanilla,12380711,74,3686622
12000,1024,102400,2,3,Vanilla,12380711,75,3700961
12000,1024,102400,2,3,Vanilla,12380711,89,3715078
12000,1024,102400,2,3,Vanilla,12380711,90,3725188
12000,1024,102400,2,3,Vanilla,12380711,101,3736925
12000,1024,102400,2,3,Vanilla,12339167,1,1
12000,1024,102400,2,3,Vanilla,12339167,2,1008344
12000,1024,102400,2,3,Vanilla,12339167,3,1070888
12000,1024,102400,2,3,Vanilla,12339167,4,1552323
12000,1024,102400,2,3,Vanilla,12339167,5,2068459
12000,1024,102400,2,3,Vanilla,12339167,6,2129081
12000,1024,102400,2,3,Vanilla,12339167,7,2132593
12000,1024,102400,2,3,Vanilla,12339167,10,2175358
12000,1024,102400,2,3,Vanilla,12339167,11,2579006
12000,1024,102400,2,3,Vanilla,12339167,12,2721274
12000,1024,102400,2,3,Vanilla,12339167,14,2775001
12000,1024,102400,2,3,Vanilla,12339167,15,2819997
12000,1024,102400,2,3,Vanilla,12339167,16,3034302
12000,1024,102400,2,3,Vanilla,12339167,17,3235400
12000,1024,102400,2,3,Vanilla,12339167,18,3251423
12000,1024,102400,2,3,Vanilla,12339167,19,3266039
12000,1024,102400,2,3,Vanilla,12339167,20,3376794
12000,1024,102400,2,3,Vanilla,12339167,21,3380525
12000,1024,102400,2,3,Vanilla,12339167,24,3396849
12000,1024,102400,2,3,Vanilla,12339167,26,3419671
12000,1024,102400,2,3,Vanilla,12339167,28,3427880
12000,1024,102400,2,3,Vanilla,12339167,29,3431758
12000,1024,102400,2,3,Vanilla,12339167,36,3439804
12000,1024,102400,2,3,Vanilla,12339167,38,3492000
12000,1024,102400,2,3,Vanilla,12339167,45,3493064
12000,1024,102400,2,3,Vanilla,12339167,53,3559062
12000,1024,102400,2,3,Vanilla,12339167,57,3676266
12000,1024,102400,2,3,Vanilla,12339167,60,3682944
