num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.3,3,Classified,0,11013,3991425,11842083,3987702,1
12000,1024,102400,1.3,3,Classified,1,386,395092,1098388,395019,1
12000,1024,102400,1.3,3,Classified,2,222,463713,1286051,463713,0.8119826
12000,1024,102400,1.3,3,Classified,3,163,641007,1863790,641007,0.73249197
12000,1024,102400,1.3,3,Classified,4,89,780533,2131029,780533,0.785605
12000,1024,102400,1.3,3,Classified,5,79,1307918,3680191,1307918,0.6701592
12000,1024,102400,1.3,3,Classified,6,48,1093558,3819177,1093558,0.5680578
12000,1024,102400,1.3,3,Classified,0,11048,4488274,11868749,4481594,1
12000,1024,102400,1.3,3,Classified,1,366,419677,1032154,419677,0.9820109
12000,1024,102400,1.3,3,Classified,2,203,452619,1158941,452619,0.8871284
12000,1024,102400,1.3,3,Classified,3,138,623437,1579782,623437,0.9031648
12000,1024,102400,1.3,3,Classified,4,109,1002626,2596649,1002626,0.7364234
12000,1024,102400,1.3,3,Classified,5,95,1675125,4291208,1675125,0.7124158
12000,1024,102400,1.3,3,Classified,6,41,1475512,3513581,1475512,0.6507286
12000,1024,102400,1.3,3,Classified,0,10987,4807750,11794766,4802281,1
12000,1024,102400,1.3,3,Classified,1,379,456568,1084666,456398,1
12000,1024,102400,1.3,3,Classified,2,216,548153,1249776,548153,0.93832
12000,1024,102400,1.3,3,Classified,3,156,732674,1799026,732674,0.93946266
12000,1024,102400,1.3,3,Classified,4,125,1166341,2867848,1166341,0.75172096
12000,1024,102400,1.3,3,Classified,5,82,1661042,3872371,1661042,0.8870782
12000,1024,102400,1.3,3,Classified,6,55,1690698,4374969,1690698,0.67118376
12000,1024,102400,1.3,3,Classified,0,11005,5475890,11840523,5458052,1
12000,1024,102400,1.3,3,Classified,1,363,466470,1028926,466434,1
12000,1024,102400,1.3,3,Classified,2,215,600425,1235268,600425,0.98949736
12000,1024,102400,1.3,3,Classified,3,156,951604,1881159,950130,1
12000,1024,102400,1.3,3,Classified,4,106,1174164,2464986,1174164,0.88772
12000,1024,102400,1.3,3,Classified,5,98,2500597,4705042,2500597,0.88791084
12000,1024,102400,1.3,3,Classified,6,57,2152587,4620377,2152587,0.8482822
12000,1024,102400,1.3,3,Classified,0,11041,5028206,11861197,5017567,1
12000,1024,102400,1.3,3,Classified,1,373,453262,1069411,453001,1
12000,1024,102400,1.3,3,Classified,2,195,518246,1146762,518246,0.91646194
12000,1024,102400,1.3,3,Classified,3,144,713583,1668345,713583,0.9747096
12000,1024,102400,1.3,3,Classified,4,103,1054080,2325844,1054080,0.8774064
12000,1024,102400,1.3,3,Classified,5,90,1898499,4248633,1898499,0.75742376
12000,1024,102400,1.3,3,Classified,6,54,1867198,4427794,1867198,0.73560053
12000,1024,102400,1.3,3,Classified,0,11037,4617062,11843399,4610285,1
12000,1024,102400,1.3,3,Classified,1,338,382191,946399,382073,1
12000,1024,102400,1.3,3,Classified,2,228,494679,1294889,494679,0.98498684
12000,1024,102400,1.3,3,Classified,3,144,707181,1672803,707181,0.8944393
12000,1024,102400,1.3,3,Classified,4,118,1082531,2786946,1082531,0.8972464
12000,1024,102400,1.3,3,Classified,5,86,1597298,4084381,1597298,0.7895492
12000,1024,102400,1.3,3,Classified,6,49,1606974,3985295,1606974,0.69005865
12000,1024,102400,1.3,3,Classified,0,11043,5351286,11860523,5340273,1
12000,1024,102400,1.3,3,Classified,1,345,455977,977622,454901,1
12000,1024,102400,1.3,3,Classified,2,220,601580,1261920,601369,1
12000,1024,102400,1.3,3,Classified,3,134,757524,1577901,756321,1
12000,1024,102400,1.3,3,Classified,4,100,1097794,2328178,1094501,1
12000,1024,102400,1.3,3,Classified,5,100,2286294,4740860,2286294,0.8638412
12000,1024,102400,1.3,3,Classified,6,58,1903865,4650930,1903865,0.805629
12000,1024,102400,1.3,3,Classified,0,11048,5153630,11860513,5142709,1
12000,1024,102400,1.3,3,Classified,1,359,476643,1029451,475655,1
12000,1024,102400,1.3,3,Classified,2,189,518774,1122246,518453,1
12000,1024,102400,1.3,3,Classified,3,136,752472,1651165,752472,0.9271442
12000,1024,102400,1.3,3,Classified,4,119,1231322,2707550,1231322,0.89688575
12000,1024,102400,1.3,3,Classified,5,95,2017563,4412754,2017308,1
12000,1024,102400,1.3,3,Classified,6,54,1943265,4436563,1943265,0.7969684
12000,1024,102400,1.3,3,Classified,0,11011,4603471,11835746,4596178,1
12000,1024,102400,1.3,3,Classified,1,379,446401,1087415,446401,0.9931058
12000,1024,102400,1.3,3,Classified,2,214,519016,1241717,519016,0.9243711
12000,1024,102400,1.3,3,Classified,3,131,633338,1530652,633338,0.87995255
12000,1024,102400,1.3,3,Classified,4,126,1141853,2783200,1141853,0.7391648
12000,1024,102400,1.3,3,Classified,5,99,1876303,4655039,1876303,0.67471856
12000,1024,102400,1.3,3,Classified,6,40,1261219,3334107,1261219,0.6155532
12000,1024,102400,1.3,3,Classified,0,11003,4354195,11819199,4345085,1
12000,1024,102400,1.3,3,Classified,1,377,415343,1088214,415049,1
12000,1024,102400,1.3,3,Classified,2,233,503271,1346884,503271,0.76849294
12000,1024,102400,1.3,3,Classified,3,143,619245,1635190,619245,0.88038754
12000,1024,102400,1.3,3,Classified,4,121,1078653,2792275,1078652,0.8071574
12000,1024,102400,1.3,3,Classified,5,78,1421346,3618284,1421346,0.65889114
12000,1024,102400,1.3,3,Classified,6,45,1249140,3679291,1249140,0.650075
12000,1024,102400,1.3,3,Classified,0,11028,3834603,11858340,3828611,1
12000,1024,102400,1.3,3,Classified,1,371,336144,1049799,336144,0.7957461
12000,1024,102400,1.3,3,Classified,2,211,402191,1203491,402191,0.7949522
12000,1024,102400,1.3,3,Classified,3,151,603342,1728558,603342,0.78094673
12000,1024,102400,1.3,3,Classified,4,112,887547,2666035,887547,0.5627814
12000,1024,102400,1.3,3,Classified,5,79,1166467,3627079,1166467,0.58225447
12000,1024,102400,1.3,3,Classified,6,48,1240737,3892497,1240737,0.5734222
12000,1024,102400,1.3,3,Classified,0,11039,4113139,11857297,4110304,1
12000,1024,102400,1.3,3,Classified,1,366,381390,1039206,381348,1
12000,1024,102400,1.3,3,Classified,2,202,430258,1194416,430258,0.89079374
12000,1024,102400,1.3,3,Classified,3,158,650946,1802022,650946,0.71982664
12000,1024,102400,1.3,3,Classified,4,113,920675,2567712,920675,0.6647798
12000,1024,102400,1.3,3,Classified,5,73,1246593,3421904,1246592,0.60210854
12000,1024,102400,1.3,3,Classified,6,49,1298996,3924081,1298996,0.5441265
12000,1024,102400,1.3,3,Classified,0,10966,4844250,11762502,4838342,1
12000,1024,102400,1.3,3,Classified,1,388,476225,1098441,475353,1
12000,1024,102400,1.3,3,Classified,2,206,501850,1202592,501850,0.9558971
12000,1024,102400,1.3,3,Classified,3,149,751199,1733267,750298,1
12000,1024,102400,1.3,3,Classified,4,149,1479802,3519222,1479802,0.9357402
12000,1024,102400,1.3,3,Classified,5,92,1907304,4211233,1907304,0.8869235
12000,1024,102400,1.3,3,Classified,6,50,1743627,4170033,1743627,0.7141295
12000,1024,102400,1.3,3,Classified,0,11021,4261975,11827392,4258441,1
12000,1024,102400,1.3,3,Classified,1,392,416087,1107889,415964,1
12000,1024,102400,1.3,3,Classified,2,215,465005,1229638,465005,0.91237766
12000,1024,102400,1.3,3,Classified,3,131,583874,1529511,583874,0.7403415
12000,1024,102400,1.3,3,Classified,4,114,1022572,2687386,1022572,0.72295
12000,1024,102400,1.3,3,Classified,5,97,1691011,4460914,1691011,0.6732102
12000,1024,102400,1.3,3,Classified,6,30,890952,2509718,890952,0.6470873
12000,1024,102400,1.3,3,Classified,0,11041,4336272,11880724,4331887,1
12000,1024,102400,1.3,3,Classified,1,377,405230,1052594,404217,1
12000,1024,102400,1.3,3,Classified,2,184,396752,1059110,396752,0.8815789
12000,1024,102400,1.3,3,Classified,3,142,619235,1638802,619235,0.8418346
12000,1024,102400,1.3,3,Classified,4,112,1022216,2687801,1022216,0.62833524
12000,1024,102400,1.3,3,Classified,5,97,1770820,4536768,1770820,0.7865461
12000,1024,102400,1.3,3,Classified,6,47,1519596,3977298,1519596,0.61574835
