num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.2,3,TwoChoices,0,10227,10357448,11213388,10264476,1
12000,1024,102400,1.2,3,TwoChoices,1,584,640192,1656843,640100,1
12000,1024,102400,1.2,3,TwoChoices,2,365,405503,2124284,405503,0.52812696
12000,1024,102400,1.2,3,TwoChoices,3,297,333526,3468780,333526,0.28751752
12000,1024,102400,1.2,3,TwoChoices,4,236,259752,5508038,259752,0.13858216
12000,1024,102400,1.2,3,TwoChoices,5,173,187949,7936503,187949,0.057397593
12000,1024,102400,1.2,3,TwoChoices,6,118,132010,9655290,132010,0.043269508
12000,1024,102400,1.2,3,TwoChoices,0,10234,10176722,11238551,10171097,1
12000,1024,102400,1.2,3,TwoChoices,1,591,647515,1682738,647506,1
12000,1024,102400,1.2,3,TwoChoices,2,354,380930,2067331,380930,0.47813687
12000,1024,102400,1.2,3,TwoChoices,3,299,324905,3512899,324905,0.30169082
12000,1024,102400,1.2,3,TwoChoices,4,232,256804,5339950,256804,0.14288324
12000,1024,102400,1.2,3,TwoChoices,5,194,208851,9301952,208851,0.052992444
12000,1024,102400,1.2,3,TwoChoices,6,96,101434,7810256,101434,0.057595715
12000,1024,102400,1.2,3,TwoChoices,0,10250,10272433,11256288,10248673,1
12000,1024,102400,1.2,3,TwoChoices,1,587,633687,1714343,633664,1
12000,1024,102400,1.2,3,TwoChoices,2,343,372623,1995805,372623,0.5392739
12000,1024,102400,1.2,3,TwoChoices,3,296,311886,3488632,311886,0.22209834
12000,1024,102400,1.2,3,TwoChoices,4,225,240468,5383699,240468,0.14942528
12000,1024,102400,1.2,3,TwoChoices,5,198,219150,9314346,219150,0.07314562
12000,1024,102400,1.2,3,TwoChoices,6,101,111993,8373971,111993,0.032636467
12000,1024,102400,1.2,3,TwoChoices,0,10192,10276861,11173254,10195401,1
12000,1024,102400,1.2,3,TwoChoices,1,621,678260,1770474,678260,0.9201169
12000,1024,102400,1.2,3,TwoChoices,2,388,419954,2275920,419954,0.4301879
12000,1024,102400,1.2,3,TwoChoices,3,263,284435,3027043,284435,0.18438576
12000,1024,102400,1.2,3,TwoChoices,4,249,269424,5832147,269424,0.10487165
12000,1024,102400,1.2,3,TwoChoices,5,193,210775,8909148,210775,0.04313221
12000,1024,102400,1.2,3,TwoChoices,6,94,100231,7835429,100231,0.020668693
12000,1024,102400,1.2,3,TwoChoices,0,10211,10236102,11184944,10195239,1
12000,1024,102400,1.2,3,TwoChoices,1,630,685851,1791232,685827,1
12000,1024,102400,1.2,3,TwoChoices,2,388,423693,2278737,423693,0.51592356
12000,1024,102400,1.2,3,TwoChoices,3,241,271769,2792169,271769,0.2567219
12000,1024,102400,1.2,3,TwoChoices,4,209,228794,4914976,228794,0.14924434
12000,1024,102400,1.2,3,TwoChoices,5,214,232544,10321062,232544,0.055819575
12000,1024,102400,1.2,3,TwoChoices,6,107,119229,8967420,119229,0.037284378
12000,1024,102400,1.2,3,TwoChoices,0,10230,10279620,11193778,10235784,1
12000,1024,102400,1.2,3,TwoChoices,1,566,621839,1605214,621821,1
12000,1024,102400,1.2,3,TwoChoices,2,394,430238,2299119,430238,0.48332188
12000,1024,102400,1.2,3,TwoChoices,3,267,292914,3124336,292914,0.23554288
12000,1024,102400,1.2,3,TwoChoices,4,227,246318,5350009,246318,0.16336778
12000,1024,102400,1.2,3,TwoChoices,5,197,215812,9110457,215812,0.06320137
12000,1024,102400,1.2,3,TwoChoices,6,119,127438,9788246,127438,0.027929503
12000,1024,102400,1.2,3,TwoChoices,0,10204,10264155,11181394,10238659,1
12000,1024,102400,1.2,3,TwoChoices,1,604,660751,1716222,660744,1
12000,1024,102400,1.2,3,TwoChoices,2,383,421491,2236667,421491,0.40051198
12000,1024,102400,1.2,3,TwoChoices,3,299,323360,3471483,323360,0.20580794
12000,1024,102400,1.2,3,TwoChoices,4,237,259158,5619992,259158,0.1688967
12000,1024,102400,1.2,3,TwoChoices,5,155,171093,7023921,171093,0.050329246
12000,1024,102400,1.2,3,TwoChoices,6,118,127395,9639297,127395,0.032548364
12000,1024,102400,1.2,3,TwoChoices,0,10198,10318034,11154328,10236863,1
12000,1024,102400,1.2,3,TwoChoices,1,610,687633,1731045,687491,1
12000,1024,102400,1.2,3,TwoChoices,2,341,384788,1964187,384788,0.84250474
12000,1024,102400,1.2,3,TwoChoices,3,289,314014,3297990,314014,0.24586016
12000,1024,102400,1.2,3,TwoChoices,4,226,249348,5280954,249348,0.11678064
12000,1024,102400,1.2,3,TwoChoices,5,217,242560,10243516,242560,0.07319722
12000,1024,102400,1.2,3,TwoChoices,6,119,129978,9822193,129978,0.034453716
12000,1024,102400,1.2,3,TwoChoices,0,10201,10297715,11208140,10233282,1
12000,1024,102400,1.2,3,TwoChoices,1,596,656963,1691473,656942,1
12000,1024,102400,1.2,3,TwoChoices,2,358,400232,2071222,400232,0.4755366
12000,1024,102400,1.2,3,TwoChoices,3,294,331341,3429847,331341,0.23209335
12000,1024,102400,1.2,3,TwoChoices,4,242,264031,5710894,264031,0.09460864
12000,1024,102400,1.2,3,TwoChoices,5,195,216493,9045290,216493,0.052284777
12000,1024,102400,1.2,3,TwoChoices,6,114,123394,9401677,123394,0.024888812
12000,1024,102400,1.2,3,TwoChoices,0,10238,10256924,11253479,10222700,1
12000,1024,102400,1.2,3,TwoChoices,1,569,614158,1631017,614158,0.97741276
12000,1024,102400,1.2,3,TwoChoices,2,373,403587,2108464,403587,0.45442307
12000,1024,102400,1.2,3,TwoChoices,3,266,285615,3094182,285615,0.20167024
12000,1024,102400,1.2,3,TwoChoices,4,237,253403,5568716,253403,0.08022709
12000,1024,102400,1.2,3,TwoChoices,5,205,217119,9795765,217119,0.04200707
12000,1024,102400,1.2,3,TwoChoices,6,112,121336,9105186,121336,0.025477637
12000,1024,102400,1.2,3,TwoChoices,0,10228,10297478,11229797,10250346,1
12000,1024,102400,1.2,3,TwoChoices,1,618,674280,1768538,674263,1
12000,1024,102400,1.2,3,TwoChoices,2,364,401945,2117347,401945,0.45895198
12000,1024,102400,1.2,3,TwoChoices,3,280,305587,3328649,305587,0.2560343
12000,1024,102400,1.2,3,TwoChoices,4,222,237943,5125936,237943,0.13003264
12000,1024,102400,1.2,3,TwoChoices,5,190,206940,8825407,206940,0.054322008
12000,1024,102400,1.2,3,TwoChoices,6,98,108609,8257358,108609,0.0248949
12000,1024,102400,1.2,3,TwoChoices,0,10226,10290051,11216426,10247364,1
12000,1024,102400,1.2,3,TwoChoices,1,564,615618,1612186,615557,1
12000,1024,102400,1.2,3,TwoChoices,2,366,392005,2081125,392005,0.46456692
12000,1024,102400,1.2,3,TwoChoices,3,298,328144,3484118,328144,0.47036767
12000,1024,102400,1.2,3,TwoChoices,4,213,234192,4947034,234192,0.22697867
12000,1024,102400,1.2,3,TwoChoices,5,215,241041,10040788,241041,0.062053006
12000,1024,102400,1.2,3,TwoChoices,6,118,134554,9718678,134554,0.05136706
12000,1024,102400,1.2,3,TwoChoices,0,10233,10314131,11207226,10251870,1
12000,1024,102400,1.2,3,TwoChoices,1,598,651782,1678346,651758,1
12000,1024,102400,1.2,3,TwoChoices,2,351,381745,2049108,381744,0.5180873
12000,1024,102400,1.2,3,TwoChoices,3,288,308234,3300594,308234,0.26540896
12000,1024,102400,1.2,3,TwoChoices,4,232,248068,5484564,248068,0.11081841
12000,1024,102400,1.2,3,TwoChoices,5,185,201155,8574861,201155,0.049634233
12000,1024,102400,1.2,3,TwoChoices,6,113,122270,9214611,122270,0.020292731
12000,1024,102400,1.2,3,TwoChoices,0,10260,10328632,11234912,10290800,1
12000,1024,102400,1.2,3,TwoChoices,1,547,590538,1558802,590538,0.80300957
12000,1024,102400,1.2,3,TwoChoices,2,386,417133,2245858,417133,0.4094161
12000,1024,102400,1.2,3,TwoChoices,3,297,316113,3442003,316113,0.18621442
12000,1024,102400,1.2,3,TwoChoices,4,225,242835,5280298,242835,0.10798841
12000,1024,102400,1.2,3,TwoChoices,5,183,201108,8657698,201108,0.05126495
12000,1024,102400,1.2,3,TwoChoices,6,102,113548,8288612,113548,0.028417213
12000,1024,102400,1.2,3,TwoChoices,0,10244,10265043,11232140,10237733,1
12000,1024,102400,1.2,3,TwoChoices,1,591,645254,1686586,645241,1
12000,1024,102400,1.2,3,TwoChoices,2,351,390395,2045990,390395,0.61946905
12000,1024,102400,1.2,3,TwoChoices,3,270,296234,3154657,296234,0.3030868
12000,1024,102400,1.2,3,TwoChoices,4,234,256889,5390617,256889,0.123014726
12000,1024,102400,1.2,3,TwoChoices,5,197,211919,9289813,211919,0.059829846
12000,1024,102400,1.2,3,TwoChoices,6,113,123683,9272810,123683,0.028537218
12000,1024,102400,1.2,3,TwoChoices,0,10169,10251903,11158499,10197168,1
12000,1024,102400,1.2,3,TwoChoices,1,603,663813,1715150,663788,1
12000,1024,102400,1.2,3,TwoChoices,2,368,403699,2147703,403699,0.50055075
12000,1024,102400,1.2,3,TwoChoices,3,290,315187,3336903,315187,0.18943284
12000,1024,102400,1.2,3,TwoChoices,4,244,264780,5812549,264780,0.10734044
12000,1024,102400,1.2,3,TwoChoices,5,211,234265,10070220,234265,0.064010605
12000,1024,102400,1.2,3,TwoChoices,6,115,129519,9338781,129519,0.035347193
12000,1024,102400,1.2,3,TwoChoices,0,10178,10220769,11157301,10176937,1
12000,1024,102400,1.2,3,TwoChoices,1,614,666849,1746022,666849,0.896516
12000,1024,102400,1.2,3,TwoChoices,2,404,435130,2327419,435130,0.46849942
12000,1024,102400,1.2,3,TwoChoices,3,277,295912,3284518,295912,0.24125569
12000,1024,102400,1.2,3,TwoChoices,4,233,249857,5549130,249857,0.09748496
