num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1.7,3,Classified+TwoChoices,12860928,4002169,12000,12003020,2.9991288
12000,1024,102400,1.7,3,Classified+TwoChoices,12870084,4048149,12000,12083627,2.9849758
12000,1024,102400,1.7,3,Classified+TwoChoices,13018883,4076531,12000,12178076,2.9873626
12000,1024,102400,1.7,3,Classified+TwoChoices,12996240,4055132,12000,12127907,2.990755
12000,1024,102400,1.7,3,Classified+TwoChoices,12848937,4038027,12000,12056237,2.985675
12000,1024,102400,1.7,3,Classified+TwoChoices,13007105,4047780,12000,12105002,2.9905286
12000,1024,102400,1.7,3,Classified+TwoChoices,12716378,3984194,12000,11887910,2.9837677
12000,1024,102400,1.7,3,Classified+TwoChoices,13080513,4123344,12000,12282829,2.9788513
12000,1024,102400,1.7,3,Classified+TwoChoices,12758090,3990827,12000,11935918,2.9908383
12000,1024,102400,1.7,3,Classified+TwoChoices,12998348,4062381,12000,12154912,2.992066
12000,1024,102400,1.7,3,Classified+TwoChoices,12689572,3962627,12000,11867562,2.9948723
12000,1024,102400,1.7,3,Classified+TwoChoices,12798845,4017471,12000,12015604,2.9908378
12000,1024,102400,1.7,3,Classified+TwoChoices,12827029,4002334,12000,12000718,2.99843
12000,1024,102400,1.7,3,Classified+TwoChoices,12953154,4043158,12000,12070182,2.985335
12000,1024,102400,1.7,3,Classified+TwoChoices,12833484,4039350,12000,12066189,2.9871612
12000,1024,102400,1.7,3,Classified+TwoChoices,12870320,4018550,12000,12027921,2.9930997
12000,1024,102400,1.7,3,Classified+TwoChoices,12708871,3966868,12000,11869769,2.9922268
12000,1024,102400,1.7,3,Classified+TwoChoices,12794692,4001215,12000,11977687,2.9935124
12000,1024,102400,1.7,3,Classified+TwoChoices,12826450,4007891,12000,12011934,2.997071
12000,1024,102400,1.7,3,Classified+TwoChoices,12965679,4076670,12000,12152859,2.981075
12000,1024,102400,1.7,3,Classified+TwoChoices,12720198,3991972,12000,11930226,2.9885545
12000,1024,102400,1.7,3,Classified+TwoChoices,12692220,3983670,12000,11898219,2.9867482
12000,1024,102400,1.7,3,Classified+TwoChoices,12813142,4030257,12000,12031557,2.9853077
12000,1024,102400,1.7,3,Classified+TwoChoices,13155737,4106418,12000,12287159,2.9921842
12000,1024,102400,1.7,3,Classified+TwoChoices,12766634,4006333,12000,11946626,2.9819353
12000,1024,102400,1.7,3,Classified+TwoChoices,12808267,4000671,12000,11966574,2.9911418
12000,1024,102400,1.7,3,Classified+TwoChoices,13058353,4096668,12000,12238433,2.9874115
12000,1024,102400,1.7,3,Classified+TwoChoices,13125691,4082614,12000,12222167,2.9937112
12000,1024,102400,1.7,3,Classified+TwoChoices,12901646,4051373,12000,12093261,2.9849784
12000,1024,102400,1.7,3,Classified+TwoChoices,12981243,4034985,12000,12069160,2.991129
12000,1024,102400,1.7,3,Classified+TwoChoices,12773935,4004155,12000,11965519,2.9882758
12000,1024,102400,1.7,3,Classified+TwoChoices,12765243,4002905,12000,11952328,2.9859135
12000,1024,102400,1.7,3,Classified+TwoChoices,12734522,3989647,12000,11930458,2.9903543
12000,1024,102400,1.7,3,Classified+TwoChoices,13028518,4056607,12000,12124449,2.9888153
12000,1024,102400,1.7,3,Classified+TwoChoices,12979997,4037382,12000,12082840,2.9927413
12000,1024,102400,1.7,3,Classified+TwoChoices,12773325,4014483,12000,11974892,2.9829226
12000,1024,102400,1.7,3,Classified+TwoChoices,12770953,4021898,12000,12007748,2.9855924
12000,1024,102400,1.7,3,Classified+TwoChoices,12959045,4016510,12000,12034387,2.99623
12000,1024,102400,1.7,3,Classified+TwoChoices,12888388,4053767,12000,12103635,2.9857748
12000,1024,102400,1.7,3,Classified+TwoChoices,12760028,4003772,12000,11982653,2.992841
12000,1024,102400,1.7,3,Classified+TwoChoices,12798970,4033604,12000,12030924,2.9826736
12000,1024,102400,1.7,3,Classified+TwoChoices,13022697,4087406,12000,12203820,2.9857128
12000,1024,102400,1.7,3,Classified+TwoChoices,12694646,4005532,12000,11944315,2.9819548
12000,1024,102400,1.7,3,Classified+TwoChoices,12957092,4055071,12000,12112184,2.9869227
12000,1024,102400,1.7,3,Classified+TwoChoices,13056630,4049875,12000,12117214,2.991997
12000,1024,102400,1.7,3,Classified+TwoChoices,12786079,3991749,12000,11954222,2.9947329
