num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.3,3,Classified+TwoChoices,0,11047,7112121,11880570,7112120,0.8926039
12000,1024,102400,1.3,3,Classified+TwoChoices,1,341,719790,960821,719783,1
12000,1024,102400,1.3,3,Classified+TwoChoices,2,192,892551,1107537,891699,1
12000,1024,102400,1.3,3,Classified+TwoChoices,3,162,1561511,1897558,1554277,1
12000,1024,102400,1.3,3,Classified+TwoChoices,4,117,2381046,2815483,2366409,1
12000,1024,102400,1.3,3,Classified+TwoChoices,5,95,3713332,4417740,3682814,1
12000,1024,102400,1.3,3,Classified+TwoChoices,6,46,2842374,3755016,2826256,1
12000,1024,102400,1.3,3,Classified+TwoChoices,0,11019,6947281,11839603,6947281,0.90945405
12000,1024,102400,1.3,3,Classified+TwoChoices,1,351,734702,996243,734558,1
12000,1024,102400,1.3,3,Classified+TwoChoices,2,214,946444,1224677,944586,1
12000,1024,102400,1.3,3,Classified+TwoChoices,3,156,1539569,1839562,1528065,1
12000,1024,102400,1.3,3,Classified+TwoChoices,4,101,1871530,2288336,1859053,1
12000,1024,102400,1.3,3,Classified+TwoChoices,5,90,3474245,4181003,3444732,1
12000,1024,102400,1.3,3,Classified+TwoChoices,6,69,4568043,5925735,4514503,1
12000,1024,102400,1.3,3,Classified+TwoChoices,0,11017,7757697,11858612,7757697,0.96816975
12000,1024,102400,1.3,3,Classified+TwoChoices,1,352,819671,1011415,819331,1
12000,1024,102400,1.3,3,Classified+TwoChoices,2,230,1142665,1341314,1136169,1
12000,1024,102400,1.3,3,Classified+TwoChoices,3,152,1498221,1765577,1487527,1
12000,1024,102400,1.3,3,Classified+TwoChoices,4,117,2361070,2710458,2334535,1
12000,1024,102400,1.3,3,Classified+TwoChoices,5,75,2969901,3454398,2949974,1
12000,1024,102400,1.3,3,Classified+TwoChoices,6,57,3793805,4667963,3757566,1
12000,1024,102400,1.3,3,Classified+TwoChoices,0,11008,8029184,11809937,8029127,1
12000,1024,102400,1.3,3,Classified+TwoChoices,1,386,868445,1076981,867675,1
12000,1024,102400,1.3,3,Classified+TwoChoices,2,230,1157768,1333446,1150566,1
12000,1024,102400,1.3,3,Classified+TwoChoices,3,134,1345949,1530451,1332853,1
