num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11966,11621132,12344691,11600060,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,20,47069,52961,47019,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,7,30223,35118,30196,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,4,44999,47864,44801,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,1,30513,30385,30385,1
12000,1024,102400,1.8,3,Classified+TwoChoices,5,1,32105,42049,32105,0.763514
12000,1024,102400,1.8,3,Classified+TwoChoices,6,1,64095,69931,64095,0.9165463
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11969,11674521,12337480,11641194,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,20,46703,52173,46588,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,7,36524,39822,36383,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,2,26710,26533,26533,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,2,32863,39942,32863,0.82606006
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11981,11749324,12363676,11701280,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,11,29125,30710,29003,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,4,20202,21616,20137,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,2,20263,21109,20146,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,2,32586,40152,32586,0.8198857
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11966,11656451,12349235,11609924,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,23,57056,63916,56816,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,6,32398,35058,32191,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,1,8590,9424,8590,0.91150254
12000,1024,102400,1.8,3,Classified+TwoChoices,4,1,15949,17551,15949,0.9087232
12000,1024,102400,1.8,3,Classified+TwoChoices,5,2,89346,100210,88798,1
12000,1024,102400,1.8,3,Classified+TwoChoices,6,1,65999,85069,65999,0.775829
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11967,11691724,12338939,11634119,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,19,52512,55830,52251,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,5,28570,29919,28386,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,7,72199,77396,71865,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,2,40029,42209,39743,1
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11979,11665876,12353984,11645630,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,10,24006,28461,23974,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,10,45700,53368,45646,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,1,16144,16563,16144,0.97470266
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11967,11640406,12342529,11601345,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,17,41279,46917,41182,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,8,43201,46776,43012,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,6,62868,66754,62526,1
12000,1024,102400,1.8,3,Classified+TwoChoices,5,1,50045,49547,49547,1
12000,1024,102400,1.8,3,Classified+TwoChoices,6,1,64572,80019,64572,0.8069583
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11976,11611229,12360841,11592551,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,13,28565,33396,28526,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,8,43509,46242,43391,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,2,22824,25731,22767,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,1,15731,17662,15731,0.8906692
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11967,11660721,12345533,11630856,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,24,62012,68432,61795,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,3,20104,21316,20020,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,4,37654,42269,37535,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,1,16220,18904,16220,0.8580195
12000,1024,102400,1.8,3,Classified+TwoChoices,6,1,66027,74622,66027,0.8848195
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11967,11747097,12339904,11677065,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,20,54731,59231,54339,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,7,37228,40634,36953,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,2,15921,18547,15921,0.94964767
12000,1024,102400,1.8,3,Classified+TwoChoices,4,3,77894,78815,77229,1
12000,1024,102400,1.8,3,Classified+TwoChoices,6,1,64474,83780,64474,0.76956314
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11956,11696577,12329678,11630274,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,25,61075,66253,60724,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,13,63793,69906,63416,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,1,8374,8281,8281,1
12000,1024,102400,1.8,3,Classified+TwoChoices,4,3,68100,74147,67375,1
12000,1024,102400,1.8,3,Classified+TwoChoices,5,2,120288,118938,118938,1
12000,1024,102400,1.8,3,Classified+TwoChoices,0,11973,11627441,12351013,11591870,1
12000,1024,102400,1.8,3,Classified+TwoChoices,1,22,62468,65989,62218,1
12000,1024,102400,1.8,3,Classified+TwoChoices,2,3,15257,15937,15206,1
12000,1024,102400,1.8,3,Classified+TwoChoices,3,1,7977,9424,7977,0.8464559
