num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,2,3,Vanilla,0,11995,3625987,12327054,3625164,1
12000,1024,102400,2,3,Vanilla,1,5,1469,12708,1469,0.14258373
12000,1024,102400,2,3,Vanilla,0,11994,3353031,12326948,3352678,1
12000,1024,102400,2,3,Vanilla,1,5,1031,12388,1031,0.1507791
12000,1024,102400,2,3,Vanilla,2,1,406,4193,406,0.09682804
12000,1024,102400,2,3,Vanilla,0,11994,3435155,12319167,3434618,1
12000,1024,102400,2,3,Vanilla,1,4,1341,10400,1341,0.23643893
12000,1024,102400,2,3,Vanilla,2,2,379,9698,379,0.05012483
12000,1024,102400,2,3,Vanilla,0,11996,3296414,12325640,3296140,1
12000,1024,102400,2,3,Vanilla,1,2,745,7148,745,0.122442745
12000,1024,102400,2,3,Vanilla,2,1,162,7734,162,0.020946471
12000,1024,102400,2,3,Vanilla,3,1,435,13989,435,0.03109586
12000,1024,102400,2,3,Vanilla,0,11994,3210576,12326119,3210435,1
12000,1024,102400,2,3,Vanilla,1,4,915,11755,915,0.09589969
12000,1024,102400,2,3,Vanilla,2,1,128,4668,128,0.027420737
12000,1024,102400,2,3,Vanilla,5,1,265,55851,265,0.004744767
12000,1024,102400,2,3,Vanilla,0,11993,4244740,12325265,4242256,1
12000,1024,102400,2,3,Vanilla,1,5,2073,14086,2073,0.3775694
12000,1024,102400,2,3,Vanilla,2,1,182,4130,182,0.044067796
12000,1024,102400,2,3,Vanilla,5,1,336,35976,336,0.00933956
12000,1024,102400,2,3,Vanilla,0,11993,3400833,12323684,3400227,1
12000,1024,102400,2,3,Vanilla,1,6,1369,15708,1369,0.20407407
12000,1024,102400,2,3,Vanilla,2,1,269,4374,269,0.06149977
12000,1024,102400,2,3,Vanilla,0,11993,3503521,12325137,3502550,1
12000,1024,102400,2,3,Vanilla,1,6,1742,15130,1742,0.22014134
12000,1024,102400,2,3,Vanilla,3,1,348,14664,348,0.023731587
12000,1024,102400,2,3,Vanilla,0,11991,3317990,12321193,3316995,1
12000,1024,102400,2,3,Vanilla,1,7,1860,19301,1860,0.1884253
12000,1024,102400,2,3,Vanilla,2,2,298,13077,298,0.02795488
12000,1024,102400,2,3,Vanilla,0,11990,3353035,12320324,3352679,1
12000,1024,102400,2,3,Vanilla,1,4,1461,11539,1461,0.15675427
12000,1024,102400,2,3,Vanilla,2,4,1063,21549,1063,0.063269995
12000,1024,102400,2,3,Vanilla,4,1,544,17344,544,0.031365313
12000,1024,102400,2,3,Vanilla,5,1,318,42347,318,0.0075093866
12000,1024,102400,2,3,Vanilla,0,11995,3258421,12322978,3258057,1
12000,1024,102400,2,3,Vanilla,1,2,365,5317,365,0.071484685
12000,1024,102400,2,3,Vanilla,2,1,220,7054,220,0.031187978
12000,1024,102400,2,3,Vanilla,3,2,431,20444,431,0.025
12000,1024,102400,2,3,Vanilla,0,11997,3434265,12327493,3433792,1
12000,1024,102400,2,3,Vanilla,2,2,476,11192,476,0.046722908
12000,1024,102400,2,3,Vanilla,4,1,544,17312,544,0.03142329
12000,1024,102400,2,3,Vanilla,0,11992,3356602,12319850,3355846,1
12000,1024,102400,2,3,Vanilla,1,7,1477,17250,1477,0.16826323
12000,1024,102400,2,3,Vanilla,2,1,130,5094,130,0.02552022
12000,1024,102400,2,3,Vanilla,0,11988,3334276,12318039,3333381,1
12000,1024,102400,2,3,Vanilla,1,6,1597,14411,1597,0.16604339
12000,1024,102400,2,3,Vanilla,2,2,325,9181,325,0.046115495
12000,1024,102400,2,3,Vanilla,3,2,523,21173,523,0.028221352
12000,1024,102400,2,3,Vanilla,4,1,143,20132,143,0.0071031195
12000,1024,102400,2,3,Vanilla,6,1,231,84079,231,0.002747416
12000,1024,102400,2,3,Vanilla,0,11993,3441748,12326932,3440775,1
12000,1024,102400,2,3,Vanilla,1,7,1499,19921,1499,0.1094306
12000,1024,102400,2,3,Vanilla,0,11991,3256138,12329788,3255894,1
12000,1024,102400,2,3,Vanilla,1,6,1541,17382,1541,0.15333036
12000,1024,102400,2,3,Vanilla,2,2,626,10533,626,0.10023474
12000,1024,102400,2,3,Vanilla,3,1,238,8454,238,0.028152354
12000,1024,102400,2,3,Vanilla,0,11992,3358476,12324439,3357869,1
12000,1024,102400,2,3,Vanilla,1,7,1963,18107,1963,0.17831427
12000,1024,102400,2,3,Vanilla,3,1,86,12468,86,0.006897658
12000,1024,102400,2,3,Vanilla,0,11994,3326658,12327039,3325645,1
12000,1024,102400,2,3,Vanilla,1,3,736,9308,736,0.10846245
12000,1024,102400,2,3,Vanilla,2,2,694,14611,694,0.070002496
12000,1024,102400,2,3,Vanilla,3,1,214,11509,214,0.018594144
12000,1024,102400,2,3,Vanilla,0,11993,3513033,12325392,3512530,1
