num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1.9,3,Classified,12429922,1399259,12000,4196437,2.9990423
12000,1024,102400,1.9,3,Classified,12445512,1111432,12000,3333724,2.9994853
12000,1024,102400,1.9,3,Classified,12419598,1219494,12000,3657621,2.999294
12000,1024,102400,1.9,3,Classified,12458946,1124721,12000,3373627,2.9995234
12000,1024,102400,1.9,3,Classified,12396535,1126963,12000,3380421,2.9995847
12000,1024,102400,1.9,3,Classified,12479612,1109495,12000,3328285,2.9998198
12000,1024,102400,1.9,3,Classified,12398045,1077325,12000,3231645,2.9996936
12000,1024,102400,1.9,3,Classified,12430999,1141889,12000,3424878,2.999309
12000,1024,102400,1.9,3,Classified,12367171,1144624,12000,3433529,2.9997003
12000,1024,102400,1.9,3,Classified,12407035,1063967,12000,3191628,2.9997435
12000,1024,102400,1.9,3,Classified,12434317,1133921,12000,3401405,2.9996843
12000,1024,102400,1.9,3,Classified,12444954,1067448,12000,3201316,2.999037
12000,1024,102400,1.9,3,Classified,12505934,1077175,12000,3231098,2.9996035
12000,1024,102400,1.9,3,Classified,12388289,1120312,12000,3360217,2.9993582
12000,1024,102400,1.9,3,Classified,12401717,1071378,12000,3213623,2.9995232
12000,1024,102400,1.9,3,Classified,12534295,1110311,12000,3330627,2.9997244
12000,1024,102400,1.9,3,Classified,12472485,1112037,12000,3335462,2.9994164
12000,1024,102400,1.9,3,Classified,12492141,1163224,12000,3489294,2.999675
12000,1024,102400,1.9,3,Classified,12390936,1018315,12000,3054761,2.9998193
12000,1024,102400,1.9,3,Classified,12469401,1180318,12000,3540745,2.9998229
12000,1024,102400,1.9,3,Classified,12440271,1113258,12000,3339512,2.9997647
12000,1024,102400,1.9,3,Classified,12405118,1102039,12000,3305496,2.9994366
12000,1024,102400,1.9,3,Classified,12384677,1126894,12000,3380484,2.9998243
12000,1024,102400,1.9,3,Classified,12395905,1098877,12000,3295642,2.9991
12000,1024,102400,1.9,3,Classified,12386424,1148223,12000,3444151,2.999549
12000,1024,102400,1.9,3,Classified,12436522,1222520,12000,3666543,2.9991682
12000,1024,102400,1.9,3,Classified,12388121,1095062,12000,3284974,2.9998064
12000,1024,102400,1.9,3,Classified,12394386,1040416,12000,3121047,2.999807
12000,1024,102400,1.9,3,Classified,12486829,1065569,12000,3196169,2.999495
12000,1024,102400,1.9,3,Classified,12388211,1102146,12000,3306136,2.999726
12000,1024,102400,1.9,3,Classified,12412437,1045463,12000,3136178,2.999798
12000,1024,102400,1.9,3,Classified,12462502,1174336,12000,3521868,2.9990292
12000,1024,102400,1.9,3,Classified,12433529,1096380,12000,3288379,2.999306
12000,1024,102400,1.9,3,Classified,12493729,1121399,12000,3363804,2.9996495
12000,1024,102400,1.9,3,Classified,12408796,1154768,12000,3463576,2.9993696
12000,1024,102400,1.9,3,Classified,12426654,1174760,12000,3523202,2.9990823
12000,1024,102400,1.9,3,Classified,12394584,1137088,12000,3410420,2.9992578
12000,1024,102400,1.9,3,Classified,12390917,1091123,12000,3272836,2.9995115
12000,1024,102400,1.9,3,Classified,12407398,1131642,12000,3393795,2.9990005
12000,1024,102400,1.9,3,Classified,12566449,1092006,12000,3275743,2.9997482
12000,1024,102400,1.9,3,Classified,12497111,1065243,12000,3195633,2.9999099
12000,1024,102400,1.9,3,Classified,12425274,1143684,12000,3430010,2.999089
12000,1024,102400,1.9,3,Classified,12387185,1091821,12000,3275191,2.9997509
12000,1024,102400,1.9,3,Classified,12416447,1248478,12000,3743557,2.9984965
12000,1024,102400,1.9,3,Classified,12409837,1146552,12000,3438556,2.9990406
12000,1024,102400,1.9,3,Classified,12411637,1064225,12000,3192200,2.9995537
12000,1024,102400,1.9,3,Classified,12423238,1114531,12000,3343207,2.9996536
12000,1024,102400,1.9,3,Classified,12395853,1071807,12000,3215224,2.9998162
12000,1024,102400,1.9,3,Classified,12389992,1175457,12000,3525756,2.999477
12000,1024,102400,1.9,3,Classified,12366604,1122210,12000,3365950,2.999394
12000,1024,102400,1.9,3,Classified,12409582,1265082,12000,3794731,2.999593
12000,1024,102400,1.9,3,Classified,12423570,1101824,12000,3304886,2.999468
12000,1024,102400,1.9,3,Classified,12391114,1078526,12000,3234837,2.9993129
12000,1024,102400,1.9,3,Classified,12370522,1160166,12000,3480118,2.9996724
12000,1024,102400,1.9,3,Classified,12431554,1126034,12000,3377748,2.9996855
12000,1024,102400,1.9,3,Classified,12412520,1108192,12000,3324183,2.9996455
12000,1024,102400,1.9,3,Classified,12379063,1107463,12000,3322022,2.9996686
12000,1024,102400,1.9,3,Classified,12403573,1363228,12000,4088544,2.9991639
12000,1024,102400,1.9,3,Classified,12544846,1130751,12000,3391721,2.9995296
12000,1024,102400,1.9,3,Classified,12394022,1112741,12000,3337546,2.9993916
12000,1024,102400,1.9,3,Classified,12457933,1143969,12000,3431213,2.9993932
12000,1024,102400,1.9,3,Classified,12431309,1090112,12000,3269878,2.99958
12000,1024,102400,1.9,3,Classified,12406476,1112384,12000,3336431,2.9993517
12000,1024,102400,1.9,3,Classified,12415647,1026984,12000,3080764,2.999817
12000,1024,102400,1.9,3,Classified,12395339,1183535,12000,3549710,2.9992437
12000,1024,102400,1.9,3,Classified,12430149,1191815,12000,3574616,2.9993045
12000,1024,102400,1.9,3,Classified,12501387,1159839,12000,3478924,2.9994888
12000,1024,102400,1.9,3,Classified,12390588,1062061,12000,3185787,2.999627
12000,1024,102400,1.9,3,Classified,12438890,1117310,12000,3351507,2.9996214
12000,1024,102400,1.9,3,Classified,12449234,1179419,12000,3537566,2.9994142
12000,1024,102400,1.9,3,Classified,12385137,1149030,12000,3446302,2.9993143
12000,1024,102400,1.9,3,Classified,12401582,1123986,12000,3371750,2.999815
12000,1024,102400,1.9,3,Classified,12391593,1429906,12000,4288140,2.9988964
12000,1024,102400,1.9,3,Classified,12499978,1129807,12000,3388783,2.9994352
12000,1024,102400,1.9,3,Classified,12411783,1115360,12000,3345249,2.999255
12000,1024,102400,1.9,3,Classified,12384409,1424647,12000,4272004,2.9986403
12000,1024,102400,1.9,3,Classified,12488738,1113016,12000,3338088,2.9991374
12000,1024,102400,1.9,3,Classified,12447071,1080925,12000,3242579,2.9998186
12000,1024,102400,1.9,3,Classified,12399714,1127933,12000,3382723,2.999046
12000,1024,102400,1.9,3,Classified,12457235,1153452,12000,3459720,2.9994485
12000,1024,102400,1.9,3,Classified,12465576,1419204,12000,4254282,2.9976537
12000,1024,102400,1.9,3,Classified,12508377,1119965,12000,3359229,2.9994054
12000,1024,102400,1.9,3,Classified,12390555,1106390,12000,3318722,2.9995952
12000,1024,102400,1.9,3,Classified,12412184,1140732,12000,3421233,2.9991558
12000,1024,102400,1.9,3,Classified,12423190,1300741,12000,3900579,2.9987361
12000,1024,102400,1.9,3,Classified,12386630,1098426,12000,3294953,2.9997041
12000,1024,102400,1.9,3,Classified,12420776,1108428,12000,3324651,2.999429
12000,1024,102400,1.9,3,Classified,12426983,1072094,12000,3215739,2.9994936
12000,1024,102400,1.9,3,Classified,12461470,1092877,12000,3278078,2.999494
12000,1024,102400,1.9,3,Classified,12388507,1106925,12000,3320348,2.9996142
12000,1024,102400,1.9,3,Classified,12453794,1126645,12000,3379595,2.9996982
12000,1024,102400,1.9,3,Classified,12454240,1168913,12000,3505538,2.9989727
12000,1024,102400,1.9,3,Classified,12489046,1108479,12000,3324258,2.9989364
12000,1024,102400,1.9,3,Classified,12435820,1232167,12000,3695990,2.9995854
12000,1024,102400,1.9,3,Classified,12515749,1153302,12000,3458120,2.9984515
12000,1024,102400,1.9,3,Classified,12384469,1006862,12000,3020485,2.9998996
12000,1024,102400,1.9,3,Classified,12376846,1135718,12000,3406728,2.999625
12000,1024,102400,1.9,3,Classified,12469950,1125315,12000,3375116,2.9992633
12000,1024,102400,1.9,3,Classified,12395295,1364491,12000,4091798,2.9987724
12000,1024,102400,1.9,3,Classified,12456089,1369091,12000,4105956,2.999038
