num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1.5,3,TwoChoices,15675572,3933907,12000,11758678,2.9890585
12000,1024,102400,1.5,3,TwoChoices,15382416,3918798,12000,11729440,2.9931219
12000,1024,102400,1.5,3,TwoChoices,14941358,3933580,12000,11752871,2.9878306
12000,1024,102400,1.5,3,TwoChoices,15240303,3930272,12000,11746185,2.9886444
12000,1024,102400,1.5,3,TwoChoices,14919897,3923720,12000,11741900,2.9925427
12000,1024,102400,1.5,3,TwoChoices,15042239,3957093,12000,11778708,2.9766064
12000,1024,102400,1.5,3,TwoChoices,14564584,3945061,12000,11792694,2.98923
12000,1024,102400,1.5,3,TwoChoices,15359284,3946703,12000,11788365,2.9868894
12000,1024,102400,1.5,3,TwoChoices,15391290,3955486,12000,11792549,2.981315
12000,1024,102400,1.5,3,TwoChoices,14802136,3957465,12000,11788500,2.9788008
12000,1024,102400,1.5,3,TwoChoices,15222188,3945470,12000,11767277,2.982478
12000,1024,102400,1.5,3,TwoChoices,15245914,3923564,12000,11742193,2.9927363
12000,1024,102400,1.5,3,TwoChoices,15532433,3946511,12000,11773944,2.9833806
12000,1024,102400,1.5,3,TwoChoices,15364014,3928998,12000,11737239,2.9873364
12000,1024,102400,1.5,3,TwoChoices,14941780,3949032,12000,11795234,2.9868672
12000,1024,102400,1.5,3,TwoChoices,15113840,3937023,12000,11758157,2.9865603
12000,1024,102400,1.5,3,TwoChoices,14829026,3927880,12000,11741051,2.9891572
12000,1024,102400,1.5,3,TwoChoices,15146216,3945198,12000,11774940,2.9846258
12000,1024,102400,1.5,3,TwoChoices,15270311,3934043,12000,11762567,2.9899437
12000,1024,102400,1.5,3,TwoChoices,15292176,3937064,12000,11776700,2.991239
12000,1024,102400,1.5,3,TwoChoices,15128837,3915931,12000,11702269,2.9883747
12000,1024,102400,1.5,3,TwoChoices,15342774,3920727,12000,11728349,2.991371
12000,1024,102400,1.5,3,TwoChoices,15102215,3932067,12000,11762957,2.9915454
12000,1024,102400,1.5,3,TwoChoices,14907820,3927039,12000,11763079,2.9954066
