num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.7,3,Classified,0,11939,3377530,12350878,3377331,1
12000,1024,102400,1.7,3,Classified,1,32,23818,89396,23818,0.47389558
12000,1024,102400,1.7,3,Classified,2,11,15023,60600,15023,0.31149778
12000,1024,102400,1.7,3,Classified,3,10,30143,111441,30143,0.34774822
12000,1024,102400,1.7,3,Classified,4,5,37409,122040,37409,0.40120074
12000,1024,102400,1.7,3,Classified,5,3,36307,128829,36307,0.35206622
12000,1024,102400,1.7,3,Classified,0,11952,4168269,12367700,4167008,1
12000,1024,102400,1.7,3,Classified,1,28,25002,78185,25002,0.5304896
12000,1024,102400,1.7,3,Classified,2,11,20470,57622,20470,0.630122
12000,1024,102400,1.7,3,Classified,3,6,24414,73238,24414,0.43910766
12000,1024,102400,1.7,3,Classified,4,2,17398,47874,17398,0.38705322
12000,1024,102400,1.7,3,Classified,5,1,22807,64435,22807,0.3539536
12000,1024,102400,1.7,3,Classified,0,11937,3244140,12348482,3243562,1
12000,1024,102400,1.7,3,Classified,1,40,30612,110661,30612,0.4515008
12000,1024,102400,1.7,3,Classified,2,10,14796,54248,14796,0.45675445
12000,1024,102400,1.7,3,Classified,3,6,14801,65797,14801,0.33269495
12000,1024,102400,1.7,3,Classified,4,3,17279,61516,17279,0.38338864
12000,1024,102400,1.7,3,Classified,5,4,62708,196617,62708,0.37285903
12000,1024,102400,1.7,3,Classified,0,11946,4086856,12366981,4086238,1
12000,1024,102400,1.7,3,Classified,1,29,25570,79456,25570,0.51846105
12000,1024,102400,1.7,3,Classified,2,13,25472,72275,25472,0.49092558
12000,1024,102400,1.7,3,Classified,3,6,24693,68564,24693,0.41411763
12000,1024,102400,1.7,3,Classified,4,5,43866,127623,43866,0.39973086
12000,1024,102400,1.7,3,Classified,6,1,23498,84152,23498,0.27923283
12000,1024,102400,1.7,3,Classified,0,11935,3394049,12341758,3393453,1
12000,1024,102400,1.7,3,Classified,1,38,31671,105260,31671,0.47165355
12000,1024,102400,1.7,3,Classified,2,11,22722,69689,22722,0.44317818
12000,1024,102400,1.7,3,Classified,3,9,28902,100166,28902,0.3945489
12000,1024,102400,1.7,3,Classified,4,4,29421,101080,29421,0.3569575
12000,1024,102400,1.7,3,Classified,6,3,79030,254633,79030,0.39924434
12000,1024,102400,1.7,3,Classified,0,11947,3072389,12352869,3072162,1
12000,1024,102400,1.7,3,Classified,1,19,12873,50789,12873,0.4141279
12000,1024,102400,1.7,3,Classified,2,11,16263,62424,16263,0.36348903
12000,1024,102400,1.7,3,Classified,3,7,22030,81992,22030,0.36830935
12000,1024,102400,1.7,3,Classified,4,10,62592,237367,62592,0.35944477
12000,1024,102400,1.7,3,Classified,5,5,51665,204673,51665,0.31302947
12000,1024,102400,1.7,3,Classified,6,1,18175,85307,18175,0.21305403
12000,1024,102400,1.7,3,Classified,0,11937,3256944,12354453,3256666,1
12000,1024,102400,1.7,3,Classified,1,27,20480,76073,20480,0.41485447
12000,1024,102400,1.7,3,Classified,2,21,25522,108286,25522,0.4182987
12000,1024,102400,1.7,3,Classified,3,8,24404,89480,24404,0.4099785
12000,1024,102400,1.7,3,Classified,4,2,14208,53405,14208,0.28536254
12000,1024,102400,1.7,3,Classified,5,5,54682,235065,54682,0.27090466
12000,1024,102400,1.7,3,Classified,0,11939,3337478,12353313,3337149,1
12000,1024,102400,1.7,3,Classified,1,36,24703,97365,24703,0.4210775
12000,1024,102400,1.7,3,Classified,2,9,14313,52090,14313,0.42901844
12000,1024,102400,1.7,3,Classified,3,5,20538,64273,20538,0.3849624
12000,1024,102400,1.7,3,Classified,4,7,42169,152749,42169,0.38970402
12000,1024,102400,1.7,3,Classified,5,3,44973,128112,44973,0.38589966
12000,1024,102400,1.7,3,Classified,6,1,16961,78834,16961,0.21514829
12000,1024,102400,1.7,3,Classified,0,11944,3288861,12358748,3288363,1
12000,1024,102400,1.7,3,Classified,1,35,25541,95059,25541,0.40206853
12000,1024,102400,1.7,3,Classified,2,12,18181,66446,18181,0.41360718
12000,1024,102400,1.7,3,Classified,3,5,17898,61752,17898,0.4039179
12000,1024,102400,1.7,3,Classified,4,2,13692,43591,13692,0.35032612
12000,1024,102400,1.7,3,Classified,5,2,25251,86191,25251,0.3575719
12000,1024,102400,1.7,3,Classified,0,11929,3512763,12339803,3512200,1
12000,1024,102400,1.7,3,Classified,1,37,28066,98000,28066,0.479062
12000,1024,102400,1.7,3,Classified,2,18,25931,95720,25931,0.4154664
12000,1024,102400,1.7,3,Classified,3,11,41740,125516,41740,0.54888886
12000,1024,102400,1.7,3,Classified,4,3,13157,56086,13157,0.26568246
12000,1024,102400,1.7,3,Classified,6,2,37140,171564,37140,0.24125297
12000,1024,102400,1.7,3,Classified,0,11944,3078137,12363225,3077793,1
