num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1.2,3,Classified+TwoChoices,0,10197,4589600,11160347,4589600,0.7498708
12000,1024,102400,1.2,3,Classified+TwoChoices,1,594,1056463,1699040,1056463,0.93320364
12000,1024,102400,1.2,3,Classified+TwoChoices,2,362,1479545,2149604,1479347,1
12000,1024,102400,1.2,3,Classified+TwoChoices,3,299,2495843,3443768,2493654,1
12000,1024,102400,1.2,3,Classified+TwoChoices,4,255,4399181,5780202,4389840,1
12000,1024,102400,1.2,3,Classified+TwoChoices,5,184,6883998,8755872,6865429,1
12000,1024,102400,1.2,3,Classified+TwoChoices,6,109,6847986,9147687,6823167,1
12000,1024,102400,1.2,3,Classified+TwoChoices,0,10250,5057431,11224789,5057431,0.8874598
12000,1024,102400,1.2,3,Classified+TwoChoices,1,567,1075331,1613518,1075314,1
12000,1024,102400,1.2,3,Classified+TwoChoices,2,354,1469405,2047741,1468261,1
12000,1024,102400,1.2,3,Classified+TwoChoices,3,290,2626364,3408588,2611801,1
12000,1024,102400,1.2,3,Classified+TwoChoices,4,220,4138484,5112909,4118227,1
12000,1024,102400,1.2,3,Classified+TwoChoices,5,189,7545480,8987535,7492298,1
12000,1024,102400,1.2,3,Classified+TwoChoices,6,130,8467917,10648751,8410454,1
12000,1024,102400,1.2,3,Classified+TwoChoices,0,10214,4809257,11225768,4809257,0.8386758
12000,1024,102400,1.2,3,Classified+TwoChoices,1,562,1053668,1616871,1053564,1
12000,1024,102400,1.2,3,Classified+TwoChoices,2,399,1596029,2288473,1594897,1
12000,1024,102400,1.2,3,Classified+TwoChoices,3,309,2688710,3611241,2682335,1
12000,1024,102400,1.2,3,Classified+TwoChoices,4,218,3804467,5019861,3790148,1
12000,1024,102400,1.2,3,Classified+TwoChoices,5,194,7273769,9107522,7223731,1
12000,1024,102400,1.2,3,Classified+TwoChoices,6,104,6624354,8666247,6572494,1
