num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,total_capacity,num_stored,num_utilized_node,utilized_capacity,redundancy
12000,1024,102400,1.9,3,TwoChoices,12512948,3919634,12000,11709272,2.987338
12000,1024,102400,1.9,3,TwoChoices,12371837,3875379,12000,11617657,2.9978118
12000,1024,102400,1.9,3,TwoChoices,12458976,3906840,12000,11669744,2.9870033
12000,1024,102400,1.9,3,TwoChoices,12395847,3901265,12000,11685275,2.9952528
12000,1024,102400,1.9,3,TwoChoices,12420211,3911745,12000,11679860,2.985844
12000,1024,102400,1.9,3,TwoChoices,12433808,3914063,12000,11693567,2.9875777
12000,1024,102400,1.9,3,TwoChoices,12440459,3895900,12000,11662337,2.9934897
12000,1024,102400,1.9,3,TwoChoices,12556874,3899586,12000,11673525,2.9935293
12000,1024,102400,1.9,3,TwoChoices,12455376,3875685,12000,11609599,2.995496
12000,1024,102400,1.9,3,TwoChoices,12437642,3914720,12000,11676745,2.982779
12000,1024,102400,1.9,3,TwoChoices,12412337,3898001,12000,11649632,2.988617
12000,1024,102400,1.9,3,TwoChoices,12408054,3907536,12000,11672122,2.9870799
12000,1024,102400,1.9,3,TwoChoices,12394645,3912322,12000,11686800,2.9871774
12000,1024,102400,1.9,3,TwoChoices,12388351,3927519,12000,11694767,2.9776475
12000,1024,102400,1.9,3,TwoChoices,12458048,3902685,12000,11663812,2.9886634
12000,1024,102400,1.9,3,TwoChoices,12495592,3913004,12000,11694169,2.98854
12000,1024,102400,1.9,3,TwoChoices,12408457,3914117,12000,11697569,2.9885588
12000,1024,102400,1.9,3,TwoChoices,12371805,3905050,12000,11692391,2.9941719
12000,1024,102400,1.9,3,TwoChoices,12419163,3901839,12000,11659126,2.9881105
12000,1024,102400,1.9,3,TwoChoices,12450129,3914511,12000,11696193,2.9879065
12000,1024,102400,1.9,3,TwoChoices,12439317,3909452,12000,11679073,2.9873939
12000,1024,102400,1.9,3,TwoChoices,12466629,3919898,12000,11689232,2.9820244
12000,1024,102400,1.9,3,TwoChoices,12448271,3908039,12000,11677879,2.9881685
12000,1024,102400,1.9,3,TwoChoices,12409161,3893806,12000,11644712,2.9905732
12000,1024,102400,1.9,3,TwoChoices,12405163,3890531,12000,11645635,2.9933279
12000,1024,102400,1.9,3,TwoChoices,12431288,3902843,12000,11661761,2.9880168
12000,1024,102400,1.9,3,TwoChoices,12462342,3921863,12000,11698727,2.9829514
12000,1024,102400,1.9,3,TwoChoices,12477504,3903112,12000,11660206,2.9874127
12000,1024,102400,1.9,3,TwoChoices,12396083,3894437,12000,11658327,2.9935846
12000,1024,102400,1.9,3,TwoChoices,12425025,3897483,12000,11668518,2.9938598
12000,1024,102400,1.9,3,TwoChoices,12418634,3900081,12000,11657714,2.9890954
