num_node,node_min_capacity,node_max_capacity,capacity_skew,num_copy,strategy,bin_index,num_bin_node,bin_hit_count,bin_capacity,bin_used_capacity,bin_max_utilization
12000,1024,102400,1,3,Vanilla,0,7395,2942244,8577888,2938623,1
12000,1024,102400,1,3,Vanilla,1,1064,421633,3070267,421633,0.60155946
12000,1024,102400,1,3,Vanilla,2,858,338361,4997549,338361,0.2180279
12000,1024,102400,1,3,Vanilla,3,758,300759,8990150,300759,0.103598215
12000,1024,102400,1,3,Vanilla,4,690,272461,16360869,272461,0.07097474
12000,1024,102400,1,3,Vanilla,5,766,293949,36874333,293949,0.03722409
12000,1024,102400,1,3,Vanilla,6,469,188404,38733396,188404,0.016388742
12000,1024,102400,1,3,Vanilla,0,7504,3310753,8677413,3307722,1
12000,1024,102400,1,3,Vanilla,1,1087,472298,3114365,472298,0.5186424
12000,1024,102400,1,3,Vanilla,2,756,332064,4404667,332064,0.23017293
12000,1024,102400,1,3,Vanilla,3,766,326158,9060432,326158,0.10236435
12000,1024,102400,1,3,Vanilla,4,708,315326,16747455,315326,0.08970905
12000,1024,102400,1,3,Vanilla,5,753,332535,35248525,332535,0.034652814
12000,1024,102400,1,3,Vanilla,6,426,182835,35135397,182835,0.0170985
12000,1024,102400,1,3,Vanilla,0,7447,2296555,8601868,2295836,1
12000,1024,102400,1,3,Vanilla,1,1065,325154,3103246,325154,0.5378788
12000,1024,102400,1,3,Vanilla,2,866,269457,5103806,269457,0.23732057
12000,1024,102400,1,3,Vanilla,3,726,218087,8539959,218087,0.1118357
12000,1024,102400,1,3,Vanilla,4,731,223958,17290998,223958,0.045921713
12000,1024,102400,1,3,Vanilla,5,729,221483,34503200,221483,0.029122598
12000,1024,102400,1,3,Vanilla,6,436,135351,35825528,135351,0.012615136
12000,1024,102400,1,3,Vanilla,0,7406,2095020,8599776,2094644,1
12000,1024,102400,1,3,Vanilla,1,1113,306281,3206987,306281,0.34156212
12000,1024,102400,1,3,Vanilla,2,851,243875,4965657,243875,0.15384616
12000,1024,102400,1,3,Vanilla,3,752,214911,8902539,214911,0.102430135
12000,1024,102400,1,3,Vanilla,4,713,197221,16617119,197221,0.04280103
12000,1024,102400,1,3,Vanilla,5,735,206636,33790054,206636,0.02880682
12000,1024,102400,1,3,Vanilla,6,430,120935,35650215,120935,0.0091013415
12000,1024,102400,1,3,Vanilla,0,7465,3238693,8653720,3233131,1
12000,1024,102400,1,3,Vanilla,1,1061,462113,3056334,462113,0.6808118
12000,1024,102400,1,3,Vanilla,2,837,365553,4879776,365553,0.4027002
12000,1024,102400,1,3,Vanilla,3,764,345289,8982555,345289,0.15921544
12000,1024,102400,1,3,Vanilla,4,722,314688,17158596,314688,0.08581839
12000,1024,102400,1,3,Vanilla,5,691,301440,32574662,301440,0.03320039
12000,1024,102400,1,3,Vanilla,6,460,205244,37830266,205244,0.014952871
12000,1024,102400,1,3,Vanilla,0,7465,2799232,8655171,2794175,1
12000,1024,102400,1,3,Vanilla,1,1066,401388,3076155,401388,0.42214397
12000,1024,102400,1,3,Vanilla,2,816,307697,4762788,307697,0.24511701
12000,1024,102400,1,3,Vanilla,3,762,278054,8986173,278054,0.13105747
12000,1024,102400,1,3,Vanilla,4,722,264121,16934163,264121,0.065948226
12000,1024,102400,1,3,Vanilla,5,697,256857,33021608,256857,0.04070015
12000,1024,102400,1,3,Vanilla,6,472,171084,38973687,171084,0.012772783
12000,1024,102400,1,3,Vanilla,0,7432,2888145,8613241,2885329,1
12000,1024,102400,1,3,Vanilla,1,1127,430982,3235964,430982,0.54989386
12000,1024,102400,1,3,Vanilla,2,828,323582,4855254,323582,0.21576111
12000,1024,102400,1,3,Vanilla,3,776,300441,9192079,300441,0.11883017
12000,1024,102400,1,3,Vanilla,4,745,294456,17886536,294456,0.06346935
12000,1024,102400,1,3,Vanilla,5,674,251786,31587815,251786,0.036822498
12000,1024,102400,1,3,Vanilla,6,418,164622,34218954,164622,0.013880055
12000,1024,102400,1,3,Vanilla,0,7458,2624256,8667725,2622153,1
12000,1024,102400,1,3,Vanilla,1,1034,365857,2974725,365857,0.43713328
12000,1024,102400,1,3,Vanilla,2,880,307101,5137460,307101,0.2438483
12000,1024,102400,1,3,Vanilla,3,764,265512,9080939,265512,0.08736113
12000,1024,102400,1,3,Vanilla,4,721,246399,16909708,246399,0.07588046
12000,1024,102400,1,3,Vanilla,5,727,253843,34678346,253843,0.030371105
12000,1024,102400,1,3,Vanilla,6,416,143407,34263183,143407,0.0148341395
12000,1024,102400,1,3,Vanilla,0,7538,2906843,8701558,2904070,1
12000,1024,102400,1,3,Vanilla,1,1075,419832,3117844,419832,0.536198
12000,1024,102400,1,3,Vanilla,2,832,320120,4901066,320120,0.35749242
12000,1024,102400,1,3,Vanilla,3,764,296163,9013611,296163,0.093079865
12000,1024,102400,1,3,Vanilla,4,681,269834,16180399,269834,0.054594178
12000,1024,102400,1,3,Vanilla,5,664,251118,30999477,251118,0.029822353
12000,1024,102400,1,3,Vanilla,6,446,176496,36880119,176496,0.014736349
12000,1024,102400,1,3,Vanilla,0,7381,3021331,8532478,3017329,1
12000,1024,102400,1,3,Vanilla,1,1056,435056,3025757,435055,0.45351392
12000,1024,102400,1,3,Vanilla,2,827,345701,4891085,345701,0.22827476
12000,1024,102400,1,3,Vanilla,3,805,335160,9424847,335160,0.14783822
12000,1024,102400,1,3,Vanilla,4,752,311794,17835347,311794,0.07436717
12000,1024,102400,1,3,Vanilla,5,720,289639,33968642,289639,0.03781182
12000,1024,102400,1,3,Vanilla,6,459,188516,37424263,188516,0.012580952
12000,1024,102400,1,3,Vanilla,0,7431,2152159,8608703,2151377,1
12000,1024,102400,1,3,Vanilla,1,1143,328963,3279769,328963,0.51278603
12000,1024,102400,1,3,Vanilla,2,798,228041,4673663,228041,0.25022125
12000,1024,102400,1,3,Vanilla,3,777,226231,9180817,226231,0.12563875
12000,1024,102400,1,3,Vanilla,4,720,214013,16975967,214013,0.04656296
12000,1024,102400,1,3,Vanilla,5,677,188681,31952689,188681,0.025070284
12000,1024,102400,1,3,Vanilla,6,454,128931,37340293,128931,0.008997918
12000,1024,102400,1,3,Vanilla,0,7474,3041244,8664220,3037864,1
12000,1024,102400,1,3,Vanilla,1,1069,428826,3092183,428826,0.55565774
12000,1024,102400,1,3,Vanilla,2,878,367951,5121540,367951,0.24483956
12000,1024,102400,1,3,Vanilla,3,750,307638,8834538,307638,0.10013255
12000,1024,102400,1,3,Vanilla,4,717,293268,17109963,293268,0.07277305
12000,1024,102400,1,3,Vanilla,5,672,270359,31998426,270359,0.042656705
12000,1024,102400,1,3,Vanilla,6,440,182340,36385127,182340,0.01668034
12000,1024,102400,1,3,Vanilla,0,7468,2584473,8663184,2580261,1
12000,1024,102400,1,3,Vanilla,1,1088,371330,3157606,371330,0.54357344
12000,1024,102400,1,3,Vanilla,2,829,286162,4850251,286162,0.18625331
12000,1024,102400,1,3,Vanilla,3,759,262697,8906558,262697,0.13186313
12000,1024,102400,1,3,Vanilla,4,703,238200,16531677,238200,0.05716111
12000,1024,102400,1,3,Vanilla,5,673,229384,32331339,229384,0.031898305
12000,1024,102400,1,3,Vanilla,6,480,166227,39172285,166227,0.020242613
